,Stability
node_415,1
node_402,1
node_486,0
node_934,1
node_596,1
node_680,0
node_277,1
node_503,0
node_340,1
node_482,1
node_602,0
node_1001,0
node_154,1
node_530,0
node_323,0
node_563,0
node_466,0
node_545,0
node_104,0
node_505,0
node_873,1
node_452,0
node_909,1
node_129,1
node_385,0
node_777,1
node_550,1
node_846,1
node_702,1
node_69,1
node_780,1
node_795,0
node_840,1
node_156,1
node_190,1
node_615,1
node_106,1
node_812,0
node_78,1
node_890,1
node_429,0
node_708,0
node_167,1
node_527,0
node_242,0
node_621,1
node_671,1
node_247,0
node_395,0
node_494,1
node_64,1
node_787,1
node_678,1
node_984,1
node_113,0
node_975,0
node_307,1
node_969,1
node_42,1
node_35,0
node_818,1
node_582,1
node_305,0
node_738,0
node_203,0
node_121,1
node_779,1
node_237,0
node_204,1
node_528,0
node_804,0
node_600,1
node_447,0
node_654,1
node_665,0
node_115,1
node_761,0
node_730,1
node_695,1
node_386,0
node_961,0
node_668,0
node_531,1
node_904,0
node_57,0
node_166,1
node_862,1
node_441,0
node_635,0
node_157,0
node_54,0
node_1,1
node_526,1
node_332,0
node_544,1
node_217,1
node_570,0
node_290,1
node_936,0
node_899,0
node_407,0
node_436,0
node_136,0
node_222,1
node_825,1
node_111,1
node_70,1
node_421,0
node_822,0
node_182,0
node_367,0
node_205,1
node_19,0
node_806,0
node_556,0
node_872,1
node_990,0
node_997,0
node_454,1
node_945,1
node_37,0
node_813,1
node_426,1
node_435,1
node_677,1
node_578,1
node_327,1
node_264,0
node_98,0
node_529,0
node_966,1
node_468,1
node_487,0
node_759,1
node_47,0
node_717,1
node_559,1
node_532,0
node_373,1
node_187,1
node_837,1
node_962,1
node_268,1
node_543,1
node_683,0
node_580,0
node_868,0
node_911,1
node_294,0
node_723,1
node_33,0
node_965,0
node_828,1
node_198,1
node_40,0
node_390,0
node_919,0
node_411,0
node_922,0
node_416,1
node_633,0
node_861,1
node_554,1
node_540,1
node_214,1
node_308,0
node_949,0
node_82,1
node_334,0
node_229,0
node_724,1
node_814,1
node_748,1
node_768,0
node_153,1
node_978,0
node_164,0
node_84,1
node_50,1
node_662,0
node_676,0
node_255,1
node_235,0
node_542,1
node_368,0
node_930,0
node_658,0
node_686,1
node_641,1
node_105,1
node_34,0
node_483,1
node_360,0
node_694,0
node_91,1
node_560,1
node_977,0
node_1004,0
node_853,1
node_175,0
node_675,0
node_3,0
node_28,0
node_718,0
node_713,1
node_811,1
node_490,1
node_669,1
node_134,1
node_417,0
node_792,1
node_393,0
node_912,0
node_547,0
node_753,0
node_688,1
node_401,1
node_754,0
node_794,0
node_379,0
node_603,1
node_681,1
node_444,0
node_906,1
node_491,1
node_784,0
node_889,1
node_876,0
node_87,1
node_414,1
node_750,0
node_453,1
node_306,1
node_611,0
node_423,0
node_265,0
node_196,1
node_30,0
node_998,0
node_285,0
node_488,0
node_362,0
node_135,0
node_756,1
node_493,1
node_631,0
node_519,1
node_161,0
node_197,1
node_643,1
node_280,0
node_457,1
node_552,0
node_905,1
node_725,0
node_321,0
node_773,1
node_234,0
node_770,0
node_341,1
node_348,1
node_189,1
node_921,0
node_339,0
node_809,0
node_590,0
node_867,1
node_479,1
node_293,0
node_378,0
node_672,0
node_885,1
node_710,1
node_275,1
node_653,0
node_955,1
node_333,1
node_926,0
node_819,0
node_704,1
node_259,1
node_771,1
node_670,0
node_933,0
node_463,1
node_151,0
node_513,1
node_24,0
node_827,0
node_188,1
node_896,1
node_310,1
node_68,1
node_236,0
node_518,1
node_109,1
node_437,0
node_324,0
node_821,1
node_292,0
node_21,1
node_281,0
node_355,1
node_729,0
node_663,1
node_223,1
node_263,0
node_489,1
node_913,0
node_652,1
node_882,1
node_140,0
node_142,1
node_736,1
node_330,1
node_918,1
node_508,1
node_425,1
node_7,0
node_514,1
node_174,0
node_215,1
node_523,0
node_558,0
node_972,1
node_349,1
node_640,0
node_979,1
node_352,1
node_900,0
node_377,0
node_133,1
node_374,0
node_948,0
node_52,1
node_549,1
node_243,0
node_910,0
node_462,1
node_744,0
node_384,0
node_239,0
node_253,1
node_405,1
node_75,0
node_645,1
node_72,1
node_279,1
node_834,1
node_124,0
node_637,0
node_939,1
node_995,1
node_564,0
node_249,1
node_375,1
node_606,1
node_177,1
node_950,1
node_137,0
node_335,0
node_638,1
node_692,1
node_62,1
node_20,1
node_884,0
node_700,0
node_649,0
node_971,0
node_805,0
node_173,1
node_329,1
node_576,1
node_887,1
node_810,1
node_274,0
node_601,1
node_790,1
node_394,0
node_512,1
node_807,0
node_932,1
node_833,0
node_960,0
node_461,0
node_712,1
node_735,0
node_690,1
node_982,0
node_588,0
node_36,0
node_808,0
node_707,0
node_762,0
node_946,1
node_980,0
node_709,0
node_788,1
node_587,0
node_224,1
node_446,0
node_460,1
node_49,1
node_856,0
node_163,1
node_94,1
node_65,0
node_219,1
node_88,0
node_146,1
node_241,0
node_927,0
node_244,0
node_757,0
node_179,0
node_458,1
node_162,1
node_448,0
node_107,1
node_90,1
node_574,1
node_61,0
node_803,0
node_622,0
node_863,0
node_337,0
node_145,1
node_399,1
node_480,1
node_431,1
node_923,1
node_722,0
node_517,0
node_964,0
node_186,1
node_629,1
node_370,0
node_987,0
node_408,0
node_970,1
node_45,0
node_313,1
node_477,1
node_387,0
node_607,1
node_721,0
node_328,1
node_81,1
node_776,1
node_303,0
node_481,0
node_660,0
node_128,1
node_413,1
node_824,1
node_767,1
node_139,0
node_886,0
node_507,1
node_908,1
node_845,0
node_398,0
node_459,1
node_642,1
node_55,0
node_283,1
node_74,1
node_331,1
node_509,1
node_647,1
node_403,1
node_589,1
node_850,1
node_211,0
node_31,0
node_989,1
node_258,1
node_765,0
node_27,0
node_364,1
node_524,1
node_363,1
node_449,1
node_716,0
node_741,0
node_1002,1
node_616,1
node_443,0
node_152,1
node_178,1
node_869,0
node_380,0
node_371,1
node_597,1
node_878,0
node_877,1
node_464,1
node_520,0
node_802,1
node_931,0
node_618,0
node_66,1
node_43,0
node_141,0
node_698,0
node_397,0
node_942,1
node_999,1
node_226,1
node_300,1
node_797,1
node_213,0
node_209,0
node_894,1
node_99,0
node_880,0
node_789,1
node_535,1
node_122,1
node_183,1
node_86,1
node_901,0
node_775,1
node_928,0
node_256,1
node_703,0
node_391,0
node_199,1
node_815,0
node_26,0
node_0,1
node_595,1
node_865,0
node_216,0
node_848,1
node_630,0
node_85,1
node_842,1
node_366,1
node_496,0
node_620,1
node_485,0
node_117,1
node_424,1
node_427,1
node_116,0
node_585,1
node_499,0
node_114,0
node_573,0
node_220,1
node_350,1
node_353,0
node_941,1
node_951,0
node_495,1
node_883,0
node_372,1
node_238,0
node_793,1
node_538,1
node_2,0
node_445,1
node_221,1
node_267,0
node_14,0
node_233,1
node_992,1
node_843,1
node_920,1
node_13,0
node_874,1
node_644,1
node_747,1
node_419,1
node_365,1
node_225,1
node_983,0
node_246,0
node_342,1
node_687,0
node_158,0
node_257,0
node_627,1
node_470,0
node_475,1
node_656,1
node_521,1
node_193,0
node_976,0
node_679,1
node_296,0
node_732,0
node_952,1
node_312,1
node_648,0
node_752,1
node_469,1
node_592,0
node_455,0
node_5,0
node_96,0
node_184,1
node_56,0
node_245,0
node_854,0
node_749,1
node_201,1
node_8,0
node_123,0
node_557,1
node_465,1
node_67,1
node_617,0
node_548,1
node_278,1
node_511,1
node_170,0
node_29,0
node_832,0
node_473,1
node_289,0
node_250,0
node_566,0
node_299,1
node_841,0
node_740,1
node_796,1
node_938,0
node_456,1
node_95,1
node_18,1
node_484,0
node_568,1
node_25,0
node_442,0
node_314,1
node_575,1
node_272,0
node_823,0
node_451,0
node_769,1
node_996,0
node_144,1
node_551,1
node_288,1
node_539,1
node_195,0
node_866,1
node_343,1
node_291,0
node_284,1
node_202,1
node_302,0
node_657,0
node_875,0
node_168,1
node_428,0
node_632,0
node_851,1
node_935,0
node_92,1
node_388,0
node_755,0
node_835,1
node_849,0
node_673,1
node_338,0
node_169,0
node_659,0
node_192,0
node_276,1
node_102,0
node_318,0
node_888,0
node_22,1
node_240,0
node_968,1
node_59,0
node_9,0
node_230,1
node_742,1
node_297,1
node_664,1
node_206,1
node_120,1
node_745,1
node_287,1
node_261,0
node_354,0
node_516,0
node_893,0
node_614,1
node_282,1
node_325,1
node_317,1
node_639,0
node_172,0
node_786,1
node_772,0
node_898,1
node_994,0
node_396,0
node_666,0
node_720,0
node_746,0
node_571,0
node_604,0
node_434,1
node_546,1
node_23,0
node_697,1
node_39,0
node_973,0
node_100,0
node_715,1
node_956,0
node_148,1
node_929,0
node_207,1
node_191,1
node_829,0
node_218,1
node_147,1
node_917,1
node_83,1
node_598,1
node_593,1
node_599,0
node_409,0
node_185,0
node_565,0
node_231,1
node_351,1
node_63,0
node_412,0
node_957,0
node_108,1
node_561,1
node_119,0
node_12,0
node_497,1
node_763,0
node_609,0
node_727,1
node_501,0
node_944,1
node_553,1
node_731,0
node_32,0
node_733,1
node_959,0
node_73,1
node_474,1
node_260,1
node_801,1
node_295,0
node_594,1
node_583,1
node_766,1
node_326,1
node_38,0
node_138,0
node_103,0
node_897,0
node_79,1
node_696,1
node_200,1
node_502,0
node_389,0
node_420,1
node_77,1
node_80,1
node_693,1
node_610,0
node_852,1
node_251,0
node_316,1
node_830,0
node_361,0
node_60,0
node_450,1
node_382,0
node_581,1
node_986,0
node_46,0
node_847,0
node_51,1
node_781,1
node_438,0
node_53,1
node_879,0
node_836,0
node_6,0
node_691,0
node_991,0
node_515,1
node_924,0
node_902,0
node_785,0
node_15,0
node_586,0
node_782,1
node_613,1
