,Stability
node_645,0
node_182,0
node_725,0
node_407,0
node_702,1
node_982,0
node_156,0
node_109,1
node_704,1
node_493,0
node_908,0
node_475,1
node_772,0
node_201,0
node_954,1
node_530,0
node_881,0
node_303,0
node_190,1
node_512,1
node_748,1
node_468,1
node_626,1
node_97,0
node_809,0
node_640,0
node_697,0
node_696,1
node_66,1
node_343,1
node_754,0
node_371,1
node_764,1
node_791,0
node_565,0
node_662,0
node_328,1
node_977,0
node_105,1
node_534,0
node_220,1
node_838,0
node_227,1
node_374,0
node_988,1
node_42,1
node_95,0
node_884,0
node_542,0
node_321,0
node_426,0
node_459,1
node_507,1
node_674,0
node_621,1
node_824,1
node_308,0
node_739,1
node_212,1
node_195,0
node_82,1
node_23,0
node_476,1
node_878,0
node_149,1
node_425,0
node_72,1
node_844,1
node_463,1
node_985,0
node_744,0
node_634,0
node_150,0
node_701,1
node_258,1
node_960,0
node_311,1
node_290,0
node_489,1
node_124,0
node_514,1
node_460,1
node_419,1
node_580,0
node_552,0
node_636,0
node_694,0
node_742,1
node_538,1
node_314,1
node_467,1
node_292,0
node_756,1
node_221,1
node_877,1
node_788,1
node_726,1
node_74,1
node_365,1
node_561,1
node_502,0
node_117,1
node_345,1
node_231,1
node_413,0
node_650,1
node_199,0
node_205,0
node_964,0
node_967,0
node_574,0
node_629,1
node_521,1
node_99,0
node_608,0
node_427,1
node_599,0
node_898,1
node_416,1
node_179,0
node_806,0
node_173,1
node_837,1
node_464,1
node_531,1
node_393,0
node_882,1
node_679,1
node_667,1
node_876,0
node_264,0
node_821,1
node_860,0
node_642,1
node_802,1
node_892,1
node_185,0
node_974,0
node_769,1
node_752,1
node_310,1
node_384,0
node_233,1
node_325,1
node_440,0
node_548,1
node_700,0
node_651,1
node_920,1
node_304,0
node_104,0
node_247,0
node_436,0
node_513,1
node_60,0
node_410,1
node_191,1
node_356,1
node_24,0
node_668,0
node_834,1
node_631,0
node_248,1
node_566,0
node_803,0
node_635,0
node_184,1
node_245,0
node_466,0
node_804,0
node_922,0
node_993,0
node_428,0
node_796,1
node_510,0
node_613,1
node_135,0
node_6,0
node_787,1
node_405,1
node_386,0
node_581,1
node_758,1
node_940,0
node_398,0
node_577,1
node_61,0
node_421,0
node_936,0
node_984,1
node_708,0
node_249,1
node_736,1
node_932,1
node_206,0
node_350,1
node_557,0
node_484,0
node_573,0
node_890,1
node_760,0
node_380,0
node_905,1
node_528,0
node_939,0
node_887,1
node_324,0
node_430,0
node_242,0
node_918,0
node_657,0
node_863,0
node_895,0
node_684,0
node_323,0
node_596,1
node_886,0
node_107,1
node_593,0
node_529,0
node_261,0
node_168,0
node_1001,0
node_938,0
node_910,0
node_48,0
node_441,0
node_423,0
node_718,0
node_237,0
node_897,0
node_869,0
node_71,1
node_134,1
node_655,0
node_907,1
node_508,1
node_555,0
node_377,0
node_971,0
node_785,0
node_822,0
node_89,0
node_765,0
node_13,0
node_268,1
node_115,0
node_611,0
node_98,0
node_477,1
node_703,0
node_283,1
node_698,0
node_750,0
node_941,1
node_952,1
node_955,0
node_180,1
node_923,1
node_391,0
node_728,1
node_535,1
node_504,0
node_382,0
node_63,0
node_219,1
node_209,0
node_454,1
node_192,0
node_254,1
node_986,0
node_591,1
node_849,0
node_569,0
node_40,0
node_690,1
node_894,1
node_471,1
node_567,0
node_122,1
node_141,0
node_925,0
node_517,0
node_90,1
node_256,1
node_847,0
node_142,1
node_628,0
node_968,1
node_19,0
node_603,1
node_879,0
node_316,1
node_409,0
node_761,0
node_496,0
node_153,1
node_963,0
node_263,0
node_896,1
node_1,1
node_294,0
node_682,1
node_449,1
node_402,1
node_991,0
node_474,1
node_699,0
node_106,1
node_814,1
node_731,0
node_749,0
node_716,0
node_689,0
node_35,0
node_68,1
node_390,0
node_670,0
node_676,0
node_370,0
node_148,1
node_176,0
node_194,0
node_584,0
node_1004,0
node_482,1
node_527,0
node_259,1
node_128,0
node_188,1
node_602,0
node_547,0
node_210,0
node_451,0
node_801,0
node_733,1
node_75,0
node_664,0
node_962,1
node_265,0
node_693,1
node_2,0
node_178,1
node_637,0
node_614,1
node_116,0
node_944,1
node_163,1
node_612,1
node_347,1
node_799,1
node_934,1
node_119,0
node_776,0
node_928,0
node_789,0
node_213,0
node_604,0
node_516,0
node_770,0
node_229,0
node_779,1
node_313,1
node_620,1
node_737,0
node_519,1
node_378,0
node_830,0
node_469,1
node_575,1
node_671,1
node_429,0
node_3,0
node_666,0
node_823,0
node_272,0
node_816,0
node_780,1
node_518,1
node_851,1
node_404,1
node_588,0
node_677,1
node_820,0
node_438,0
node_768,0
node_618,0
node_492,1
node_717,1
node_39,0
node_132,0
node_627,1
node_911,1
node_995,1
node_433,1
node_722,0
node_559,1
node_319,0
node_525,0
node_875,0
node_800,1
node_262,1
node_299,1
node_969,1
node_778,1
node_953,0
node_505,0
node_989,1
node_625,0
node_609,0
node_276,0
node_793,1
node_359,0
node_15,0
node_174,0
node_732,0
node_340,1
node_30,0
node_376,0
node_658,0
node_950,1
node_714,0
node_21,1
node_841,0
node_853,1
node_88,0
node_497,1
node_524,1
node_680,0
node_558,0
node_50,1
node_171,0
node_437,0
node_852,1
node_334,0
node_139,0
node_211,0
node_197,0
node_252,0
node_293,0
node_309,1
node_641,1
node_326,1
node_267,0
node_994,0
node_1002,1
node_255,1
node_14,0
node_403,0
node_79,1
node_26,0
node_450,0
node_200,0
node_240,0
node_417,0
node_43,0
node_434,1
node_537,1
node_302,0
node_166,1
node_546,1
node_367,0
node_369,0
node_675,0
node_357,1
node_355,1
node_446,0
node_81,1
node_208,0
node_880,0
node_1000,0
node_864,0
node_140,0
node_445,1
node_338,0
node_167,0
node_32,0
node_375,1
node_165,0
node_55,0
node_751,0
node_595,0
node_389,0
node_858,1
node_196,0
node_336,0
node_914,0
node_587,0
node_54,0
node_388,0
node_337,0
node_169,0
node_500,0
node_945,1
node_462,1
node_415,1
node_186,1
node_644,1
node_351,1
node_289,0
node_874,0
node_891,1
node_494,1
node_741,0
node_605,1
node_487,0
node_226,1
node_17,1
node_348,1
node_753,0
node_146,1
node_639,0
node_143,1
node_615,1
node_164,0
node_193,0
node_987,0
node_646,0
node_320,0
node_912,0
node_296,0
node_915,0
node_285,0
node_767,1
node_978,0
node_125,0
node_755,0
node_418,1
node_576,0
node_431,1
node_11,0
node_711,0
node_532,0
node_948,0
node_118,1
node_705,0
node_681,1
node_499,0
node_850,1
node_253,1
node_819,0
node_868,0
node_187,1
node_942,1
node_798,0
node_385,0
node_401,0
node_865,0
node_224,1
node_906,1
node_924,0
node_902,0
node_322,0
node_222,1
node_672,0
node_562,0
node_600,0
node_414,1
node_866,1
node_78,1
node_846,1
node_652,1
node_724,1
node_786,1
node_70,1
node_420,1
node_218,1
node_92,1
node_893,0
node_483,1
node_5,0
node_51,0
node_77,1
node_669,1
node_966,1
node_601,1
node_665,0
node_583,1
node_217,1
node_582,1
node_18,1
node_34,0
node_274,0
node_228,1
node_979,1
node_951,0
node_279,1
node_44,0
node_27,0
node_623,0
node_913,0
node_828,1
node_707,0
node_400,1
node_624,1
node_861,1
node_121,1
node_138,0
node_305,0
node_946,1
node_332,0
node_999,1
node_172,0
node_818,1
node_372,1
node_478,1
node_412,0
node_396,0
node_873,0
node_811,1
node_447,0
node_131,0
node_607,1
node_137,0
node_959,0
node_225,1
node_775,1
node_432,1
node_442,0
node_831,1
node_161,0
node_983,0
node_540,1
node_536,1
node_133,1
node_935,0
node_383,0
node_937,0
node_710,1
node_448,0
node_782,1
node_41,0
node_589,1
node_327,1
node_439,0
node_734,1
node_46,0
node_154,1
node_759,1
node_490,1
node_243,0
node_271,0
node_551,1
node_606,1
node_795,0
node_933,0
node_686,1
node_889,1
node_597,1
node_630,0
node_578,1
node_333,1
node_996,0
node_564,0
node_8,0
node_909,0
node_94,0
node_223,1
node_47,0
node_777,1
node_980,0
node_381,0
node_919,0
node_96,0
node_719,0
node_269,0
node_727,1
node_4,0
node_586,0
node_87,1
node_363,1
node_709,0
node_395,0
node_241,0
node_790,0
node_491,1
node_110,1
node_368,0
node_533,1
node_723,1
node_170,0
node_273,0
node_857,1
node_812,0
node_84,1
node_307,1
node_829,0
node_638,1
node_975,0
node_695,1
node_917,0
node_364,1
node_833,0
node_317,1
node_486,0
node_523,0
node_281,0
node_943,0
node_813,0
node_692,1
node_549,1
node_649,0
node_37,0
node_189,1
node_713,1
node_687,0
node_257,0
node_685,0
node_465,1
node_762,0
node_111,1
node_792,1
node_251,0
node_827,0
node_643,1
node_660,0
node_127,1
node_349,1
node_461,0
node_592,0
node_594,1
node_331,1
node_38,0
node_422,1
node_91,1
node_358,0
node_992,0
node_455,0
node_57,0
node_203,0
node_579,0
node_590,0
node_452,0
node_929,0
node_903,1
node_835,0
node_76,0
node_688,0
node_458,0
node_610,0
node_930,0
node_126,0
node_207,0
node_720,0
node_926,0
node_545,0
node_678,1
node_498,0
node_729,0
node_763,0
node_632,0
node_277,1
node_123,0
node_970,0
node_160,1
node_585,0
node_839,0
node_663,1
node_990,0
node_648,0
node_832,0
node_509,1
node_53,1
node_10,1
node_916,1
node_28,0
node_619,0
node_899,0
node_235,0
node_740,1
node_885,1
node_840,0
node_553,1
node_246,0
node_80,1
node_130,1
node_981,0
node_353,0
node_774,0
node_59,0
node_65,0
node_424,1
node_215,1
node_888,0
node_315,1
node_33,0
node_616,1
node_784,0
node_544,0
node_114,0
node_275,0
node_843,0
node_244,0
node_85,1
node_556,0
node_1003,1
node_444,0
node_362,0
node_721,0
node_522,0
node_808,0
node_495,1
node_144,1
node_883,0
