,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_168,11,0.6909090909090909,3.1351705266406723e-07,0.2612746683921061,3.827389796929173,7.453441029602214e-07,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
node_3317,27,0.7749287749287749,3.995361331940395e-07,0.26023071470000647,3.842743932639921,0.0007321737695498656,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
node_1519,5,0.9,1.533610045661092e-08,0.2701726214371738,3.7013372956909363,2.2315590904230753e-07,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
node_2550,91,0.47692307692307695,1.5608513666854406e-05,0.28424609320005634,3.5180782565626547,9.637591931706894e-08,91.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0
node_1314,16,0.6083333333333333,1.549978766667928e-06,0.31532094330782445,3.17137196631996,2.4366764949773536e-06,16.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
node_2606,53,0.6734397677793904,2.8203226371846788e-06,0.2834877843302443,3.527488855869242,7.676779221951181e-08,53.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0
node_1825,16,0.2,0.0009068862081152399,0.2601468882875918,3.8439821693907876,6.282318063475084e-08,15.0,1.0,15.0,0.0625,0.001828402832920331,0.00028636278195343903,0.03225806451612902,0.032263732197310616
node_580,11,0.5272727272727272,7.689516342941697e-07,0.3151978768246039,3.172610203070827,1.9970711677176546e-06,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
node_473,6,0.4,1.0562921762115252e-06,0.3152470918885159,3.1721149083704803,1.8773998918436666e-06,5.335,0.665,5.332,0.11083333333333334,0.0004867941512394338,0.00024932897980984426,0.060727272727272734,0.06073104130576402
node_2735,14,0.45054945054945056,1.3729414771650992e-06,0.28271371560596514,3.537147102526003,7.804057826568277e-08,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
node_1584,19,0.5614035087719298,2.74253812312797e-06,0.2871364573704046,3.4826646854878653,8.240852395437951e-06,19.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
node_975,22,0.7835497835497836,3.609527481250367e-07,0.31546875,3.16988608221892,2.284970611315522e-06,22.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
node_2176,25,0.31333333333333335,3.770398827319215e-05,0.28727945361411494,3.480931154036652,4.810732436527372e-07,23.407,1.593,19.903973276723278,0.06372000000000001,0.00206679293814867,0.000552903877256131,0.03877695007386396,0.03878597847379933
node_3714,29,0.5788177339901478,3.779745552130178e-06,0.2396154759079041,4.1733531451213475,3.6831144272534136e-09,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0
node_1881,14,0.4175824175824176,2.008444927417683e-06,0.17835689045936395,5.606736007924715,1.3847385935263186e-13,14.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
node_1706,30,0.535632183908046,1.0466776821356941e-05,0.2741158101961849,3.648093115403665,1.1508362111761871e-06,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0
node_3642,15,0.9238095238095239,8.404979730765984e-08,0.23941657773034508,4.176820208023774,8.961318291155742e-10,15.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
node_2511,13,0.5128205128205128,1.5156448994119192e-06,0.2826939232707925,3.537394749876176,5.2789821092415514e-08,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0
node_368,104,0.3525018670649739,0.0016732882821071779,0.34122021294574956,2.930658741951461,9.955954564513144e-06,104.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
node_3782,10,0.9777777777777777,1.2268880365288736e-08,0.23934562266611345,4.178058444774641,6.641882505036739e-10,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
node_1105,114,0.5882626921285514,1.0596382533974954e-05,0.31775259678942397,3.1471025260029717,5.14782182547346e-05,114.0,0.0,114.0,0.0,0.0,0.0,0.0,0.0
node_1278,145,0.5279693486590038,1.8169155877452837e-05,0.3185296205726907,3.1394254581475978,6.970998120931923e-05,145.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0
node_2257,38,0.41963015647226176,7.789919454428316e-06,0.2831895644855881,3.5312035661218424,6.563407006375366e-08,38.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0
node_3030,152,0.743813175322412,1.6572281628448382e-05,0.26234407484407485,3.8117880138682514,0.06327041200494686,152.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0
node_937,31,0.7591397849462366,3.5060789725913964e-06,0.3156907200375264,3.16765725606736,3.3885147759496935e-06,31.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
node_759,64,0.4305555555555556,2.8696639199378683e-05,0.3182785528493734,3.1419019316493313,3.872413617094453e-06,64.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0
node_3513,25,0.5533333333333333,2.417495702653586e-06,0.23955861414333174,4.174343734522041,1.727140633765048e-09,25.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0
