,Stability
node_168,1
node_3317,0
node_1519,0
node_2550,0
node_1314,0
node_2606,0
node_1825,0
node_580,1
node_473,1
node_2735,0
node_1584,0
node_975,1
node_2176,0
node_3714,0
node_1881,0
node_1706,0
node_3642,0
node_2511,0
node_368,1
node_3782,0
node_1105,0
node_1278,0
node_2257,0
node_3030,0
node_937,1
node_759,1
node_3513,0
node_3121,0
node_279,1
node_429,1
node_307,1
node_1714,0
node_1204,0
node_551,1
node_1730,0
node_3928,0
node_3504,0
node_3977,0
node_3657,0
node_2582,0
node_691,1
node_1826,0
node_1720,0
node_1811,0
node_1814,0
node_802,1
node_2189,0
node_1119,0
node_4018,0
node_2504,0
node_2736,0
node_1945,0
node_2629,0
node_1970,0
node_2524,0
node_399,1
node_3384,0
node_2840,0
node_758,1
node_3563,0
node_315,1
node_1465,0
node_3090,0
node_3804,0
node_2261,0
node_1631,0
node_2779,0
node_277,1
node_1330,0
node_410,1
node_492,1
node_843,1
node_3704,0
node_866,1
node_1709,0
node_2445,0
node_2641,0
node_377,1
node_1806,0
node_704,1
node_146,1
node_3646,0
node_2275,0
node_909,1
node_2008,0
node_3702,0
node_1084,0
node_363,1
node_2347,0
node_581,1
node_2853,0
node_1112,0
node_2621,0
node_3334,0
node_3675,0
node_1167,0
node_2162,0
node_1199,0
node_1838,0
node_445,1
node_3769,0
node_2727,0
node_1613,0
node_787,1
node_3911,0
node_2158,0
node_1544,0
node_267,1
node_2320,0
node_264,1
node_4037,0
node_1746,0
node_1880,0
node_3751,0
node_1520,0
node_2412,0
node_1161,0
node_2866,0
node_1513,0
node_1205,0
node_3809,0
node_3226,0
node_3724,0
node_1512,0
node_3876,0
node_2992,0
node_771,1
node_3661,0
node_1355,0
node_472,1
node_1463,0
node_2877,0
node_2815,0
node_906,1
node_569,1
node_3639,0
node_2950,0
node_3496,0
node_729,1
node_3455,0
node_3995,0
node_958,1
node_2482,0
node_3683,0
node_2585,0
node_1424,0
node_366,1
node_2833,0
node_2618,0
node_946,1
node_2231,0
node_443,1
node_1907,0
node_2948,0
node_335,1
node_101,1
node_60,1
node_2616,0
node_1200,0
node_141,1
node_3522,0
node_2194,0
node_3129,0
node_712,1
node_1681,0
node_981,1
node_3489,0
node_2649,0
node_3710,0
node_231,1
node_1991,0
node_3742,0
node_3350,0
node_1400,0
node_1152,0
node_3440,0
node_2666,0
node_2397,0
node_2867,0
node_3791,0
node_3554,0
node_1801,0
node_2484,0
node_3596,0
node_154,1
node_2826,0
node_3412,0
node_2110,0
node_3659,0
node_1675,0
node_1209,0
node_1405,0
node_3687,0
node_1856,0
node_2518,0
node_171,1
node_160,1
node_2744,0
node_102,1
node_3401,0
node_3168,0
node_2661,0
node_2543,0
node_2439,0
node_1561,0
node_3036,0
node_2634,0
node_3495,0
node_2576,0
node_2923,0
node_635,1
node_2660,0
node_2784,0
node_1298,0
node_304,1
node_997,1
node_31,1
node_465,1
node_3151,0
node_2994,0
node_3223,0
node_3788,0
node_1172,0
node_1744,0
node_1448,0
node_3342,0
node_2809,0
node_1810,0
node_2166,0
node_1960,0
node_3192,0
node_3176,0
node_949,1
node_4009,0
node_3397,0
node_731,1
node_1852,0
node_1741,0
node_781,1
node_1100,0
node_2252,0
node_3708,0
node_1445,0
node_2545,0
node_4035,0
node_1224,0
node_3931,0
node_3588,0
node_3077,0
node_237,1
node_3963,0
node_2893,0
node_3010,0
node_1708,0
node_2885,0
node_1071,0
node_2633,0
node_3870,0
node_2670,0
node_1784,0
node_200,1
node_2601,0
node_1946,0
node_1987,0
node_816,1
node_2926,0
node_947,1
node_703,1
node_2730,0
node_1766,0
node_2303,0
node_103,1
node_3748,0
node_3526,0
node_185,1
node_1180,0
node_2889,0
node_687,1
node_275,1
node_2839,0
node_319,1
node_972,1
node_831,1
