,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_2238,54,0.6009783368273934,1.900636585848613e-05,0.2837068783812267,3.5247647350173352,1.0351446997240104e-07,53.707,0.293,50.8228,0.005425925925925925,0.0015722018343258877,7.607874552666963e-05,0.0028105175645018105,0.0028121788331598773
node_4005,5,1.0,0.0,0.18401385344513307,5.434373452204062,3.0105088597906656e-10,4.485,0.515,4.336666666666667,0.103,0.029128600310459257,0.00012821500549543808,0.06511904761904762,0.06512196606220393
node_2520,17,0.34558823529411764,2.4330543651179705e-06,0.2827731092436975,3.536404160475483,5.5710095384538745e-08,16.457,0.543,15.728457142857144,0.03194117647058824,0.0028914049700205953,0.0001410502155538687,0.019890826373807464,0.019893903662398748
node_1685,40,0.6576923076923077,6.193215619032699e-05,0.2891928668624221,3.45789995047053,1.888084828609666e-06,39.877,0.123,39.41,0.003075,0.0005637787871921935,3.219843112149065e-05,0.0015717194198206857,0.00157241672563196
node_2560,43,0.5902547065337763,2.4147482177818053e-06,0.2832889013610215,3.5299653293709756,6.951618448656728e-08,42.013,0.987,42.013,0.022953488372093017,0.004331970673194753,0.00025898609451699227,0.011611764705882358,0.011617360419803604
node_2671,35,0.6033613445378151,2.045699442039917e-06,0.2831299957930164,3.5319465081723624,6.408835503734494e-08,34.013,0.987,34.013,0.028200000000000006,0.004331970673194753,0.00025898609451699227,0.014304347826086961,0.014309943032463334
node_2525,17,0.8602941176470589,2.5550566405753983e-07,0.2827731092436975,3.536404160475483,5.131336115378409e-08,16.013,0.987,16.013,0.05805882352941177,0.050922327324323245,0.0002456221301536501,0.029909090909090896,0.029914684973827904
node_237,7,0.8571428571428571,9.201660273966552e-08,0.2612070638463031,3.8283803863298664,2.39347477316799e-07,6.859,0.141,6.8486666666666665,0.020142857142857143,0.0007228455299308505,3.669209017728922e-05,0.010955710955710957,0.010956510015697168
node_3364,93,0.6870032725572698,1.148600070500809e-05,0.2613423079412336,3.8263992075284796,0.03682831608447405,92.022,0.978,92.022,0.010516129032258063,0.00409214991513573,0.0002573748003114935,0.0052864864864864865,0.005292034320959074
node_438,84,0.7544463568559954,2.289767508943939e-06,0.31700423928403204,3.1545319465081723,4.567989667788874e-05,83.99,0.01,83.99,0.00011904761904761905,2.5298708593795264e-05,2.744715374087e-06,5.988023952095808e-05,5.993696005322356e-05
node_2266,24,0.45652173913043476,3.3932554500176765e-06,0.28291179149443,3.5346706290242693,5.9548969410129653e-08,23.561,0.439,22.343780952380957,0.018291666666666664,0.0014977956432853771,0.00011770073046477519,0.010487472160045823,0.010489960285322671
node_107,1045,0.049038479165520905,0.4805180785560152,0.45969945355191255,2.175334323922734,0.00026069399119670245,478.058,566.942,0.8584467455069027,0.5425282296650717,1.193700984615677,0.1591766464596352,0.3731405981763601,0.376360255175168
node_1680,10,0.35555555555555557,1.4927137777767961e-06,0.27020877944325483,3.7008420009905896,1.0150585834588257e-07,7.947,2.053,5.5385,0.2053,0.2567300473659024,0.000509441394871781,0.1283218954248366,0.12833352979794954
node_150,11,0.5636363636363636,9.524858913463719e-05,0.2791179926729799,3.5827142149579,4.415954575898344e-07,8.224,2.776,6.5037714285714285,0.2523636363636363,0.3043847248304934,0.0006957926994370599,0.16602128851540615,0.16603702000426906
node_1995,10,0.35555555555555557,1.254979877682729e-06,0.17832538420773714,5.607726597325408,1.3568762209441422e-13,7.105,2.895,3.235,0.2895,0.03470738194998932,0.000741040376956124,0.17694117647058824,0.1769575825714333
node_3028,21,0.6666666666666666,1.1416880892650615e-06,0.2601301294852799,3.844229816740961,0.0008818542977645078,19.988,1.012,19.8265,0.04819047619047621,0.003432148368870151,0.000270458596072291,0.024703658536585373,0.024709394551763565
node_3054,162,0.8324514991181657,2.9057177838655633e-06,0.26251462748667276,3.809311540366518,0.07101141268528406,161.022,0.978,161.022,0.006037037037037036,0.00409214991513573,0.0002573748003114935,0.003027863777089784,0.0030334159579387325
