,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut
node_3824,35,0.4436974789915966,6.547173677273749e-06,0.23970081918556335,4.171867261020307,7.941933956193669e-10,32.0,3.0,10.666666666666664,0.08571428571428569,0.005473412258584659,0.000859381986522851,0.04477611940298508,0.044793125530859804
node_911,34,0.3689839572192513,0.00013714586599355722,0.3359400998336107,2.976721149083705,6.644352464188846e-06,1.0,33.0,0.03030303030303029,0.9705882352941175,0.07779830965620683,0.009129338253374973,0.9428571428571428,0.9430441127549897
node_748,2,1.0,0.0,0.3149765990639626,3.174839029222387,2.545567127864149e-06,0.003,1.997,0.003,0.9985,0.004633420103651867,0.0005536121799484929,0.998,0.9980113163713434
node_3282,32,0.5705645161290323,2.4429273018300137e-06,0.2603145951521403,3.841505695889054,0.008160774543717756,13.979,18.021,0.7760000000000001,0.56315625,0.03352786217367566,0.0051468322704295065,0.3919838220424672,0.39208594828498855
node_262,4,1.0,0.0,0.26115638339154057,3.8291233283803865,2.1465678033104068e-07,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
node_2444,45,0.29797979797979796,2.280311083363331e-05,0.2833286556272804,3.529470034670629,7.585555659678238e-08,10.992,34.008,0.3232310924369748,0.7557333333333336,0.06327020763004262,0.009712781593077601,0.6073787878787877,0.6075714895740076
node_489,95,0.5303471444568869,1.8702533788041903e-05,0.3172782273905869,3.1518078256562654,4.2001907533426846e-05,15.913,79.087,0.20125015539809332,0.8324947368421051,0.18123223012453052,0.021955469531784764,0.7130858502826539,0.7135338965070642
node_123,18,0.6928104575163399,4.922689779281791e-07,0.2613930605903677,3.8256562654779596,8.351280919517662e-07,18.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
node_2003,12,0.42424242424242425,0.0003687978163175446,0.25420207743153916,3.9338781575037145,1.4501967281585799e-09,0.011,11.989,0.0012,0.9990833333333333,0.11288908525542032,0.0030563928038969605,0.9985142857142857,0.9985822197675329
node_3289,17,0.6544117647058824,9.349580499166866e-07,0.2600631158626908,3.8452204061416544,0.0007031320236827403,2.005,14.995,0.13373809523809524,0.8820588235294121,0.06627290185114687,0.003932926266605571,0.7890263157894737,0.7891112834127599
node_2682,5,1.0,0.0,0.28253568429890846,3.539375928677563,4.723833381570685e-08,0.219,4.781,0.1095,0.9562,0.2440340585183972,0.0011936523759238898,0.94525,0.9452770920052712
node_1633,7,0.47619047619047616,3.560008590611941e-05,0.28814043099757386,3.470529965329371,3.9292724550142026e-06,0.139,6.861,0.02448333333333333,0.9801428571428572,0.021048057751868066,0.0018486992981170823,0.9660060606060606,0.9660449387115598
node_1844,2,1.0,0.0,0.17826240508564364,5.609707776126795,6.477107636858494e-14,1.044,0.956,1.044,0.478,0.002956113757785456,0.00025734502908480273,0.31866666666666665,0.31867208411015474
node_2041,51,0.47215686274509805,0.0011633884178045588,0.2783867631851086,3.5921248142644875,2.6884705691567618e-08,4.0,47.0,0.08510638297872337,0.9215686274509806,0.19828348468899734,0.012362032190309733,0.8545454545454547,0.85481173293668
node_353,2,1.0,0.0,0.3057701044979555,3.2704309063893016,3.6798464608803157e-06,0.0,2.0,0.0,1.0,0.008838946146201305,0.000524566811620794,1.0,1.0000113333711111
