,Degree_A,Clustering Coefficient_A,Betweenness_A,Closeness_A,Shortest Path_A,Eigenvector_A,E In_A,E Out_A,E In Over E Out_A,ODF_A,Expansion_A,Cut Ratio_A,Conductance_A,Normalised Cut_A,Triangle Participation_A,Degree_B,Clustering Coefficient_B,Betweenness_B,Closeness_B,Shortest Path_B,Eigenvector_B,E In_B,E Out_B,E In Over E Out_B,ODF_B,Expansion_B,Cut Ratio_B,Conductance_B,Normalised Cut_B,Triangle Participation_B,Shortest Path Length,Triadic Closure,Mean Deg. on Path,Median Deg. on Path,Max Deg. on Path,Min Deg. on Path,Var of Deg. on Path
graph_1_1_nodes_57_128,8.0,0.03571428571428571,0.021618460722337945,0.3378607809847199,2.9597989949748738,0.01741702394236895,4.0,4.0,1.0,0.5,0.18181818181818185,0.02247191011235955,0.3333333333333333,0.3359858532272325,0.13636363636363635,9.0,0.16666666666666666,0.02547361178037994,0.3262295081967213,3.0653266331658293,0.01979890483992277,7.0,2.0,3.5,0.2222222222222222,0.06666666666666668,0.011764705882352941,0.125,0.12633333333333333,0.2333333333333333,1,0,8.5,8.5,9,8,0.25
graph_3_2_nodes_63_88,6.0,0.06666666666666668,0.004719550142679237,0.32676518883415434,3.0603015075376883,0.016528877456431116,3.0,3.0,1.0,0.5,0.14285714285714285,0.01675977653631285,0.3333333333333333,0.3351032448377581,0.14285714285714285,4.0,0.16666666666666666,0.0019043787207124528,0.33445378151260496,2.9899497487437188,0.0207225238865472,3.0,1.0,3.0,0.25,0.04166666666666666,0.005681818181818182,0.14285714285714285,0.1434478103113661,0.125,3,0,7.0,5.5,13,4,12.5
graph_3_3_nodes_5_197,9.0,0.08333333333333333,0.008305733208854171,0.3547237076648841,2.8190954773869352,0.06544131151783612,5.0,4.0,1.25,0.4444444444444444,0.19047619047619047,0.0223463687150838,0.2857142857142857,0.2882268485283561,0.2380952380952381,6.0,0.0,0.005611364042737734,0.33614864864864863,2.9748743718592965,0.041120844816585185,3.0,3.0,1.0,0.5,0.14285714285714285,0.01675977653631285,0.3333333333333333,0.33521421107628,0.0,3,0,10.5,9.5,17,6,16.25
graph_1_2_nodes_16_145,14.0,0.24175824175824176,0.02783282951439672,0.3509700176366843,2.849246231155779,0.13039462516255015,12.0,2.0,6.0,0.14285714285714285,0.06451612903225806,0.01183431952662722,0.07692307692307693,0.07822685788787484,0.41935483870967744,9.0,0.2777777777777778,0.009403978603808405,0.3094867807153966,3.2311557788944723,0.0181201101892136,8.0,1.0,8.0,0.1111111111111111,0.043478260869565216,0.005649717514124294,0.05882352941176471,0.059472458678474636,0.39130434782608703,3,0,9.25,8.5,14,6,8.6875
graph_4_1_nodes_51_76,8.0,0.07142857142857142,0.005706312190496488,0.37904761904761897,2.6381909547738696,0.05642720062719174,4.0,4.0,1.0,0.5,0.14285714285714285,0.02325581395348837,0.3333333333333333,0.33563482930571537,0.0,6.0,0.13333333333333333,0.004153286349016329,0.3776091081593928,2.648241206030151,0.05846256845426692,2.0,4.0,0.5,0.6666666666666666,0.18181818181818185,0.02247191011235955,0.5,0.5022962112514351,0.13636363636363635,3,0,14.5,7.5,37,6,169.25
graph_1_3_nodes_20_60,6.0,0.3333333333333333,0.0005957741156520963,0.2875722543352601,3.4773869346733663,0.012924909865193237,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.15384615384615385,8.0,0.21428571428571427,0.015369817569301869,0.3419243986254296,2.924623115577889,0.11803859902122925,5.0,3.0,1.6666666666666667,0.375,0.10344827586206896,0.017543859649122806,0.2307692307692308,0.2325602755453502,0.206896551724138,4,0,8.8,8.0,13,6,5.359999999999999
graph_1_1_nodes_7_38,8.0,0.10714285714285714,0.01914498487331182,0.2979041916167665,3.3567839195979907,0.008825689326867975,6.0,2.0,3.0,0.25,0.09090909090909093,0.011235955056179777,0.14285714285714285,0.1441887007799125,0.2272727272727273,7.0,0.19047619047619047,0.008733580955641567,0.3138801261829653,3.185929648241206,0.03346533957590868,6.0,1.0,6.0,0.14285714285714285,0.038461538461538464,0.005747126436781609,0.07692307692307693,0.07758929944139804,0.2307692307692308,4,0,6.6,7.0,8,5,1.0399999999999998
graph_4_3_nodes_71_107,5.0,0.0,0.0023951192835060344,0.3466898954703833,2.884422110552764,0.03871380284708553,3.0,2.0,1.5,0.4,0.08,0.011428571428571429,0.25,0.25121654501216545,0.0,5.0,0.0,0.003670137948456653,0.3390119250425894,2.949748743718593,0.029010247003228837,2.0,3.0,0.6666666666666666,0.6,0.13043478260869565,0.01694915254237288,0.42857142857142855,0.4303929221962008,0.0,2,0,6.666666666666668,5.0,10,5,5.5555555555555545
graph_3_4_nodes_147_153,10.0,0.1111111111111111,0.011353152792304493,0.3719626168224299,2.6884422110552766,0.06904782755550103,7.0,3.0,2.333333333333333,0.3,0.1111111111111111,0.017341040462427744,0.17647058823529413,0.17839243320646644,0.2222222222222222,7.0,0.2380952380952381,0.005721613852566172,0.3638025594149909,2.748743718592965,0.05062000069135331,5.0,2.0,2.5,0.2857142857142857,0.07407407407407407,0.011560693641618495,0.16666666666666666,0.16794543904518328,0.1851851851851852,3,0,9.75,9.5,13,7,4.6875
graph_2_2_nodes_45_102,6.0,0.13333333333333333,0.005989670761922243,0.35855855855855856,2.7889447236180898,0.04192301412834897,4.0,2.0,2.0,0.3333333333333333,0.1,0.011111111111111113,0.2,0.2012062726176116,0.2,7.0,0.047619047619047616,0.004845680426505157,0.35159010600706714,2.8442211055276383,0.06250894887861383,3.0,4.0,0.75,0.5714285714285714,0.13333333333333333,0.023529411764705882,0.4,0.4024067388688328,0.0,3,0,7.25,7.0,9,6,1.1875
graph_4_3_nodes_12_45,7.0,0.14285714285714285,0.005319822491563829,0.3849129593810445,2.597989949748744,0.08456415533678567,2.0,5.0,0.4,0.7142857142857143,0.25,0.027777777777777776,0.5555555555555556,0.5585876962468836,0.15,7.0,0.09523809523809523,0.007758845346857698,0.3598553345388789,2.778894472361809,0.05617848343969137,4.0,3.0,1.3333333333333333,0.42857142857142855,0.12,0.017142857142857144,0.2727272727272727,0.27455320090743096,0.16,2,0,13.333333333333336,7.0,26,7,80.2222222222222
