,Degree_A,Clustering Coefficient_A,Betweenness_A,Closeness_A,Shortest Path_A,Eigenvector_A,E In_A,E Out_A,E In Over E Out_A,ODF_A,Expansion_A,Cut Ratio_A,Conductance_A,Normalised Cut_A,Triangle Participation_A,Degree_B,Clustering Coefficient_B,Betweenness_B,Closeness_B,Shortest Path_B,Eigenvector_B,E In_B,E Out_B,E In Over E Out_B,ODF_B,Expansion_B,Cut Ratio_B,Conductance_B,Normalised Cut_B,Triangle Participation_B,Shortest Path Length,Triadic Closure,Mean Deg. on Path,Median Deg. on Path,Max Deg. on Path,Min Deg. on Path,Var of Deg. on Path
graph_3_1_nodes_46_188,8.0,0.03571428571428571,0.007661721216093289,0.3479020979020979,2.8743718592964824,0.037117758017721283,2.0,6.0,0.3333333333333333,0.75,2.0,0.03045685279187817,0.5999999999999998,0.603694581280788,0.0,5.0,0.0,0.004767112024280736,0.3761814744801512,2.658291457286432,0.06150431738825667,3.0,2.0,1.5,0.4000000000000001,0.06060606060606057,0.011976047904191621,0.25,0.2512360939431396,0.0,3,0,13.25,7.0,34,5,144.6875
graph_4_3_nodes_136_189,8.0,0.0,0.008812198632611916,0.3638025594149909,2.748743718592965,0.04812114379319315,4.0,4.0,1.0,0.5,0.21052631578947364,0.02209944751381216,0.3333333333333333,0.3357664233576641,0.0,11.0,0.027777777777777776,0.01115415945668614,0.3768939393939394,2.6532663316582914,0.07609130278791447,4.0,7.0,0.5714285714285712,0.6363636363636365,0.6999999999999998,0.036842105263157884,0.4666666666666667,0.4709168184578019,0.0,2,0,10.0,11.0,11,8,2.0
graph_4_4_nodes_50_63,7.0,0.09523809523809523,0.007561889992826446,0.3547237076648841,2.8190954773869352,0.05150968124882754,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,8.0,0.03571428571428571,0.007382348770043081,0.35346358792184723,2.8291457286432165,0.047724596975780235,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.015000000000000006,3,0,7.75,7.5,9,7,0.6875
graph_4_3_nodes_14_126,11.0,0.054545454545454536,0.013256529700164991,0.3972055888223553,2.5175879396984926,0.09792130244343833,2.0,9.0,0.2222222222222223,0.8181818181818182,1.8000000000000005,0.04615384615384618,0.6923076923076923,0.6977523384056961,0.0,5.0,0.1,0.0034346967559255514,0.34608695652173915,2.8894472361809047,0.0413334287282181,2.0,3.0,0.6666666666666665,0.5999999999999998,0.2999999999999999,0.015789473684210523,0.42857142857142855,0.4303929221962007,0.0,3,0,8.75,9.5,11,5,5.1875
graph_4_1_nodes_4_72,6.0,0.2,0.0022681761390187013,0.35663082437275984,2.8040201005025125,0.05440376093263812,3.0,3.0,1.0,0.5,0.1875,0.016304347826086953,0.3333333333333333,0.3350584627180373,0.25,6.0,0.13333333333333333,0.003063991445607145,0.3747645951035782,2.6683417085427137,0.04654794040037903,3.0,3.0,1.0,0.5,0.06976744186046513,0.01910828025477708,0.3333333333333333,0.3350584627180373,0.09302325581395346,4,0,9.8,6.0,18,6,24.160000000000004
graph_3_1_nodes_39_180,10.0,0.04444444444444445,0.010138444674428905,0.3671586715867159,2.7236180904522613,0.06162386784309627,6.0,4.0,1.5,0.4000000000000001,0.1428571428571428,0.023255813953488358,0.25,0.2524783147459728,0.10714285714285714,13.0,0.08974358974358974,0.018245438419088253,0.39019607843137255,2.562814070351759,0.09762689476180453,8.0,5.0,1.6000000000000003,0.3846153846153848,0.17857142857142852,0.029069767441860468,0.2380952380952381,0.2411989004167774,0.2857142857142856,1,1,11.5,11.5,13,10,2.25
graph_3_4_nodes_51_106,8.0,0.14285714285714285,0.007900943750436965,0.3698884758364313,2.7035175879396984,0.08144369707125658,5.0,3.0,1.666666666666667,0.375,0.10344827586206896,0.017543859649122806,0.2307692307692308,0.2326861636765791,0.206896551724138,6.0,0.06666666666666668,0.0052888313532261895,0.3528368794326241,2.8341708542713566,0.05994418550876698,4.0,2.0,2.0,0.3333333333333333,0.06896551724137932,0.011695906432748536,0.20000000000000004,0.2012771392081736,0.10344827586206896,2,0,8.333333333333334,8.0,11,6,4.222222222222221
graph_1_5_nodes_147_167,11.0,0.25,0.006037827427478293,0.32676518883415434,3.0603015075376883,0.01738313835495637,10.0,1.0,10.0,0.09090909090909093,0.045454545454545456,0.005617977528089888,0.04761904761904764,0.048213931616668086,0.4090909090909091,8.0,0.2857142857142857,0.008571521488318013,0.32892561983471075,3.0402010050251262,0.04744321874676608,6.0,2.0,3.0,0.25,0.09523809523809527,0.011173184357541895,0.1428571428571428,0.14404057480980556,0.3333333333333333,3,0,14.0,9.5,29,8,76.5
graph_1_4_nodes_16_48,6.0,0.3333333333333333,0.0004354910455109643,0.2571059431524548,3.8894472361809047,0.0013805145805765387,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,5.0,0.1,0.0014291454446776516,0.26855600539811064,3.723618090452261,0.008984146086044217,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869562,5,0,5.833333333333332,5.5,8,4,1.805555555555556
graph_2_5_nodes_23_199,7.0,0.4,0.0014805467663447044,0.33843537414965985,2.9547738693467336,0.026239476246998943,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941174,6.0,0.16666666666666666,0.0028762918876075265,0.3138801261829653,3.185929648241206,0.011787858122803977,4.0,2.0,2.0,0.3333333333333333,0.10000000000000002,0.011111111111111106,0.20000000000000004,0.20122249388753047,0.14999999999999994,3,0,7.5,7.0,10,6,2.25
graph_1_5_nodes_37_140,5.0,0.3,0.0006251873281563902,0.2884057971014493,3.4673366834170856,0.006297450245853894,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1851851851851852,8.0,0.25,0.00902642176558454,0.3305647840531561,3.0251256281407035,0.025170620089375102,6.0,2.0,3.0,0.25,0.09523809523809527,0.011173184357541895,0.1428571428571428,0.14404057480980556,0.3333333333333333,4,0,8.8,8.0,14,5,9.36
graph_3_2_nodes_50_71,14.0,0.06593406593406594,0.01617357140672204,0.3849129593810445,2.597989949748744,0.07394203111483419,8.0,6.0,1.333333333333333,0.42857142857142855,0.2400000000000001,0.034285714285714294,0.2727272727272726,0.27628177509694085,0.32,4.0,0.0,0.0019025127854603195,0.33728813559322035,2.964824120603016,0.044813077324823834,2.0,2.0,1.0,0.5,0.06666666666666665,0.011764705882352944,0.3333333333333333,0.33451257861635225,0.0,4,0,14.0,14.0,27,4,59.6
graph_1_1_nodes_1_117,6.0,0.0,0.0029921262393898685,0.2681940700808625,3.728643216080402,0.005311696847595884,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.3333333333333333,0.0030222766023817885,0.2913616398243045,3.4321608040201004,0.011972314555227648,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.3636363636363637,3,0,8.5,7.5,13,6,7.25
graph_4_2_nodes_111_135,7.0,0.09523809523809523,0.0027705093756507137,0.3747645951035782,2.6683417085427137,0.04195577864186263,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,26.0,0.09420289855072464,0.03852133764961597,0.4865525672371638,2.055276381909548,0.1948034245802511,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.105,3,0,19.5,18.0,35,7,132.25
graph_4_1_nodes_106_186,4.0,0.0,0.0016004520489836722,0.3651376146788991,2.738693467336684,0.036185592574545206,2.0,2.0,1.0,0.5,0.11764705882352942,0.010928961748633885,0.3333333333333333,0.3344827586206896,0.0,4.0,0.16666666666666666,0.0020207432092874877,0.3294701986754967,3.0351758793969847,0.01887219221954029,3.0,1.0,3.0,0.25,0.16666666666666666,0.005154639175257731,0.1428571428571428,0.14343284809606052,0.5,3,0,8.25,6.0,17,4,28.1875
graph_4_3_nodes_48_80,6.0,0.26666666666666666,0.0024767376647079928,0.3407534246575342,2.9346733668341707,0.03987936593775138,3.0,3.0,1.0,0.5,0.2999999999999999,0.015789473684210523,0.3333333333333333,0.3351570415400201,0.2999999999999999,6.0,0.0,0.002390864497374853,0.3579136690647482,2.793969849246232,0.049959751692460114,3.0,3.0,1.0,0.5,0.375,0.015625,0.3333333333333333,0.3351570415400201,0.0,3,0,9.0,8.0,14,6,11.0
graph_4_3_nodes_96_168,6.0,0.0,0.0035110783260625922,0.3553571428571429,2.814070351758794,0.047071945504297545,3.0,3.0,1.0,0.5,0.1363636363636363,0.016853932584269656,0.3333333333333333,0.3351570415400201,0.0,11.0,0.08333333333333333,0.00980832299203539,0.3740601503759399,2.6733668341708543,0.0864529860536052,5.0,6.0,0.8333333333333335,0.5454545454545452,0.375,0.032608695652173905,0.375,0.3786496350364964,0.1875,3,0,11.5,12.0,16,6,13.25
graph_2_4_nodes_75_91,8.0,0.0,0.014564409463912529,0.3522123893805309,2.8391959798994977,0.038867364508929365,4.0,4.0,1.0,0.5,0.16666666666666666,0.022727272727272728,0.3333333333333333,0.33575171301894385,0.0,7.0,0.19047619047619047,0.008471387188796987,0.3431034482758621,2.914572864321608,0.06258987175707004,4.0,3.0,1.333333333333333,0.42857142857142855,0.1363636363636363,0.016853932584269656,0.2727272727272726,0.27454215475994065,0.2272727272727272,3,0,8.0,7.5,10,7,1.5
graph_4_3_nodes_8_66,8.0,0.07142857142857142,0.008419790733535456,0.3692022263450835,2.7085427135678386,0.05432665129012668,4.0,4.0,1.0,0.5,0.1739130434782608,0.022598870056497185,0.3333333333333333,0.3357664233576641,0.2173913043478261,7.0,0.09523809523809523,0.004778195172876693,0.3692022263450835,2.7085427135678386,0.05672650447393358,3.0,4.0,0.75,0.5714285714285712,0.125,0.02380952380952382,0.4000000000000001,0.40243013365735103,0.0,3,0,10.5,10.5,14,7,9.25
graph_2_3_nodes_56_124,18.0,0.21666666666666667,0.01898355031449196,0.3856589147286822,2.5929648241206027,0.16034997367070067,15.0,3.0,5.0,0.16666666666666666,0.125,0.017045454545454537,0.09090909090909093,0.09266245151692257,0.5833333333333334,22.0,0.15263157894736842,0.033715153092438464,0.398,2.512562814070352,0.10091564686688376,18.0,4.0,4.5,0.18181818181818185,0.14814814814814814,0.023121387283236983,0.10000000000000002,0.1023446658851114,0.6296296296296297,3,0,14.75,14.5,22,8,30.6875
graph_1_4_nodes_80_95,8.0,0.2857142857142857,0.017104502200516604,0.33111480865224624,3.020100502512563,0.13097560709554049,6.0,2.0,3.0,0.25,0.06896551724137932,0.011695906432748536,0.1428571428571428,0.1441197691197691,0.2413793103448275,4.0,0.0,0.0023663768157178625,0.2922173274596182,3.422110552763819,0.009904234884797232,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,13.0,9.0,30,4,101.0
graph_1_2_nodes_51_99,10.0,0.2222222222222222,0.016056498663283382,0.3209677419354839,3.1155778894472363,0.026568809491403573,9.0,1.0,9.0,0.10000000000000002,0.037037037037037035,0.0057803468208092465,0.05263157894736841,0.053281351526965566,0.3333333333333333,5.0,0.4,0.0015156448810160034,0.26855600539811064,3.723618090452261,0.007986978908014742,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.26086956521739124,4,0,8.0,8.0,10,5,2.8
