,Same Community
graph_3_1_nodes_46_188,0
graph_4_3_nodes_136_189,0
graph_4_4_nodes_50_63,1
graph_4_3_nodes_14_126,0
graph_4_1_nodes_4_72,0
graph_3_1_nodes_39_180,1
graph_3_4_nodes_51_106,1
graph_1_5_nodes_147_167,0
graph_1_4_nodes_16_48,0
graph_2_5_nodes_23_199,0
graph_1_5_nodes_37_140,0
graph_3_2_nodes_50_71,0
graph_1_1_nodes_1_117,0
graph_4_2_nodes_111_135,1
graph_4_1_nodes_106_186,0
graph_4_3_nodes_48_80,0
graph_4_3_nodes_96_168,0
graph_2_4_nodes_75_91,0
graph_4_3_nodes_8_66,0
graph_2_3_nodes_56_124,0
graph_1_4_nodes_80_95,0
graph_1_2_nodes_51_99,0
graph_2_2_nodes_31_121,0
graph_1_3_nodes_27_151,0
graph_4_3_nodes_55_113,0
graph_2_3_nodes_75_87,0
graph_2_4_nodes_67_145,0
graph_1_1_nodes_135_171,0
graph_2_1_nodes_156_159,0
graph_2_5_nodes_42_167,0
graph_1_3_nodes_128_197,0
graph_3_1_nodes_93_148,0
graph_2_3_nodes_84_199,0
graph_3_5_nodes_9_190,0
graph_4_4_nodes_107_168,1
graph_4_1_nodes_86_102,1
graph_3_1_nodes_109_176,0
graph_1_2_nodes_107_168,1
graph_3_2_nodes_10_112,0
graph_4_3_nodes_41_193,0
graph_1_4_nodes_60_183,0
graph_3_5_nodes_33_153,0
graph_3_1_nodes_111_116,0
graph_1_2_nodes_41_90,0
graph_1_1_nodes_89_131,0
graph_3_5_nodes_68_109,0
graph_2_5_nodes_33_180,0
graph_1_5_nodes_38_147,0
graph_4_2_nodes_74_183,1
graph_2_3_nodes_30_141,1
graph_4_2_nodes_4_132,1
graph_2_3_nodes_66_137,0
graph_3_4_nodes_64_154,1
graph_1_1_nodes_25_96,0
graph_3_4_nodes_85_91,0
graph_4_3_nodes_106_126,0
graph_3_4_nodes_60_113,0
graph_4_2_nodes_30_162,1
graph_3_2_nodes_62_72,0
graph_3_5_nodes_25_120,0
graph_2_1_nodes_42_169,0
graph_3_2_nodes_140_181,0
graph_2_3_nodes_163_182,0
graph_3_1_nodes_71_111,0
graph_3_2_nodes_90_184,0
graph_3_5_nodes_90_165,0
graph_2_2_nodes_99_153,0
graph_1_5_nodes_133_140,0
graph_3_2_nodes_0_123,0
graph_2_4_nodes_188_194,0
graph_2_2_nodes_64_75,0
graph_1_3_nodes_84_166,1
graph_4_3_nodes_85_198,0
graph_1_2_nodes_94_119,0
graph_1_5_nodes_134_173,0
graph_1_2_nodes_6_57,0
graph_3_4_nodes_25_155,0
graph_4_4_nodes_83_168,1
graph_2_4_nodes_52_60,0
graph_2_1_nodes_45_152,0
graph_2_3_nodes_70_184,0
graph_3_5_nodes_93_98,0
graph_4_1_nodes_5_16,0
graph_1_4_nodes_54_106,0
graph_1_2_nodes_86_163,0
graph_1_5_nodes_108_161,0
graph_4_2_nodes_30_145,1
graph_1_4_nodes_50_79,0
graph_2_4_nodes_135_172,0
graph_4_5_nodes_126_164,0
graph_2_1_nodes_77_134,0
graph_2_4_nodes_155_187,0
graph_3_5_nodes_19_100,0
graph_4_3_nodes_133_164,0
graph_4_4_nodes_7_104,1
graph_2_1_nodes_7_81,0
graph_1_2_nodes_111_157,0
graph_1_1_nodes_101_166,0
graph_4_1_nodes_126_196,0
graph_3_3_nodes_63_180,0
graph_2_4_nodes_55_73,0
graph_3_2_nodes_79_151,0
graph_1_4_nodes_38_88,0
graph_1_5_nodes_103_148,0
graph_2_2_nodes_1_98,0
graph_4_5_nodes_31_114,0
graph_3_5_nodes_1_85,0
graph_1_3_nodes_0_164,0
graph_1_1_nodes_16_39,0
graph_4_5_nodes_178_180,0
graph_1_3_nodes_44_139,1
graph_3_4_nodes_55_182,0
graph_3_4_nodes_25_56,0
graph_1_5_nodes_91_172,0
graph_3_3_nodes_126_144,0
graph_4_5_nodes_33_146,0
graph_4_1_nodes_25_189,0
graph_1_5_nodes_162_178,0
graph_2_5_nodes_5_170,0
graph_1_2_nodes_68_178,0
graph_2_3_nodes_69_109,1
graph_1_2_nodes_113_154,0
graph_1_5_nodes_41_179,1
graph_2_4_nodes_132_134,0
graph_2_1_nodes_167_182,1
graph_1_5_nodes_4_154,0
graph_3_1_nodes_27_183,0
graph_3_5_nodes_23_65,0
graph_4_2_nodes_31_45,1
graph_4_1_nodes_51_81,0
graph_1_1_nodes_56_109,0
graph_4_4_nodes_44_145,1
graph_2_5_nodes_8_69,1
graph_4_2_nodes_65_70,1
graph_1_3_nodes_22_117,0
graph_2_5_nodes_119_190,0
graph_1_4_nodes_58_162,0
graph_2_2_nodes_109_124,1
graph_2_2_nodes_134_165,0
graph_4_3_nodes_56_84,1
graph_2_1_nodes_83_96,0
graph_1_2_nodes_178_179,0
graph_2_3_nodes_38_52,0
graph_2_4_nodes_8_173,1
graph_4_1_nodes_7_126,0
graph_2_1_nodes_7_89,1
graph_4_1_nodes_27_32,0
graph_2_3_nodes_120_134,0
graph_2_2_nodes_117_169,0
graph_4_4_nodes_84_133,1
graph_2_3_nodes_2_154,0
graph_4_4_nodes_29_43,1
graph_4_4_nodes_74_90,1
graph_2_3_nodes_75_184,0
graph_3_3_nodes_23_111,0
graph_1_2_nodes_164_167,0
graph_2_3_nodes_42_145,0
graph_2_3_nodes_5_99,0
graph_2_4_nodes_75_167,0
graph_2_2_nodes_38_106,0
graph_2_2_nodes_12_109,0
graph_4_3_nodes_115_136,0
graph_3_4_nodes_124_195,0
graph_1_5_nodes_64_142,0
graph_4_3_nodes_39_132,0
graph_2_5_nodes_41_46,0
graph_1_5_nodes_122_152,0
graph_1_1_nodes_63_166,0
graph_1_5_nodes_143_145,0
graph_1_1_nodes_132_136,0
graph_3_5_nodes_12_20,0
graph_1_4_nodes_60_86,1
graph_2_2_nodes_143_150,0
graph_1_5_nodes_60_121,0
graph_2_2_nodes_40_130,0
graph_1_2_nodes_145_146,0
graph_3_5_nodes_10_96,0
graph_1_4_nodes_170_179,1
graph_2_5_nodes_87_191,0
graph_1_2_nodes_34_149,0
graph_2_3_nodes_50_130,0
graph_3_2_nodes_30_115,0
graph_1_4_nodes_171_183,0
graph_3_3_nodes_122_193,1
graph_3_5_nodes_126_170,0
graph_2_1_nodes_78_175,0
graph_1_3_nodes_46_195,1
graph_3_3_nodes_124_129,0
graph_4_3_nodes_67_194,0
graph_1_4_nodes_21_151,0
graph_3_4_nodes_57_191,0
graph_3_2_nodes_24_105,0
graph_1_4_nodes_133_185,0
graph_4_5_nodes_99_122,0
graph_3_5_nodes_133_186,0
graph_3_5_nodes_30_52,0
graph_3_3_nodes_99_123,0
graph_4_3_nodes_15_75,0
graph_2_2_nodes_54_183,1
graph_3_1_nodes_32_75,0
graph_4_1_nodes_58_128,0
graph_4_3_nodes_48_197,0
graph_4_3_nodes_123_141,0
graph_4_4_nodes_143_195,1
graph_3_1_nodes_28_193,0
graph_1_4_nodes_55_80,0
graph_4_1_nodes_9_192,1
graph_3_1_nodes_101_111,0
graph_2_5_nodes_18_183,0
graph_2_3_nodes_95_149,0
graph_3_3_nodes_71_193,0
graph_2_3_nodes_89_107,0
graph_2_2_nodes_62_145,0
graph_1_1_nodes_73_111,0
graph_4_5_nodes_125_155,0
graph_2_1_nodes_32_93,0
graph_2_2_nodes_2_113,1
graph_2_1_nodes_141_162,0
graph_4_2_nodes_31_170,1
graph_1_1_nodes_100_171,0
graph_4_1_nodes_27_163,0
graph_4_4_nodes_21_54,1
graph_3_4_nodes_107_168,0
graph_3_5_nodes_10_163,0
graph_3_1_nodes_37_199,0
graph_1_2_nodes_28_196,0
graph_2_4_nodes_44_172,0
graph_4_1_nodes_126_144,0
graph_4_2_nodes_31_173,1
graph_1_5_nodes_155_175,0
graph_3_2_nodes_73_153,0
graph_1_5_nodes_63_132,0
graph_2_5_nodes_36_84,0
graph_3_4_nodes_7_176,0
graph_3_3_nodes_20_126,0
graph_1_2_nodes_68_145,0
graph_2_5_nodes_141_151,0
graph_1_5_nodes_191_197,0
graph_4_5_nodes_7_38,0
graph_2_1_nodes_10_182,0
graph_1_2_nodes_20_95,0
graph_1_5_nodes_77_120,0
graph_4_4_nodes_16_27,1
graph_1_5_nodes_159_182,1
graph_1_3_nodes_21_80,0
graph_2_3_nodes_120_130,0
graph_3_1_nodes_16_148,0
graph_1_5_nodes_45_129,0
graph_3_1_nodes_110_150,1
graph_1_1_nodes_11_138,0
graph_3_2_nodes_170_173,0
graph_3_5_nodes_165_191,0
graph_3_1_nodes_41_161,0
graph_4_5_nodes_66_177,0
graph_2_2_nodes_39_42,0
graph_4_4_nodes_26_195,1
graph_1_4_nodes_31_66,0
graph_1_4_nodes_24_199,0
graph_1_3_nodes_133_142,0
graph_2_4_nodes_38_70,0
graph_4_3_nodes_112_144,0
graph_2_4_nodes_3_11,0
graph_1_4_nodes_47_118,0
graph_2_1_nodes_103_118,0
graph_4_2_nodes_63_129,1
graph_4_5_nodes_29_91,0
graph_1_4_nodes_39_162,0
graph_1_3_nodes_18_122,0
graph_2_1_nodes_72_167,0
graph_2_2_nodes_65_101,0
graph_2_1_nodes_64_122,1
graph_1_4_nodes_38_57,0
graph_4_4_nodes_47_105,1
graph_2_2_nodes_148_167,0
graph_2_4_nodes_44_55,0
graph_2_5_nodes_100_185,0
graph_1_4_nodes_29_184,1
graph_4_1_nodes_94_97,0
graph_3_3_nodes_57_146,0
graph_4_2_nodes_47_81,1
graph_1_5_nodes_13_49,0
graph_1_3_nodes_43_173,0
graph_3_2_nodes_38_172,0
graph_1_1_nodes_67_165,0
graph_1_1_nodes_27_72,0
graph_4_2_nodes_57_186,1
graph_2_4_nodes_55_148,0
graph_3_5_nodes_141_144,0
graph_4_4_nodes_65_155,1
graph_4_2_nodes_134_178,1
graph_4_4_nodes_171_188,1
graph_2_3_nodes_34_141,0
graph_2_4_nodes_62_134,0
graph_2_5_nodes_54_143,0
graph_1_2_nodes_136_143,0
graph_1_5_nodes_78_180,0
graph_1_5_nodes_64_175,0
graph_4_2_nodes_27_45,1
graph_4_2_nodes_2_187,1
graph_3_1_nodes_89_149,0
graph_3_4_nodes_55_105,1
graph_2_5_nodes_11_80,0
graph_2_1_nodes_84_182,0
graph_4_5_nodes_3_151,0
graph_1_4_nodes_11_173,0
graph_3_4_nodes_98_152,0
graph_3_4_nodes_15_165,0
graph_2_5_nodes_176_180,0
graph_4_5_nodes_64_118,0
graph_2_5_nodes_140_150,0
graph_4_5_nodes_43_135,1
graph_3_1_nodes_47_150,0
graph_3_1_nodes_54_85,0
graph_4_3_nodes_65_157,0
graph_3_5_nodes_114_149,0
graph_1_5_nodes_40_73,1
graph_2_2_nodes_9_139,0
graph_3_1_nodes_161_185,1
graph_2_5_nodes_115_148,0
graph_4_1_nodes_42_55,0
graph_2_3_nodes_8_183,0
graph_2_3_nodes_81_166,0
graph_1_4_nodes_108_178,0
graph_2_2_nodes_89_94,0
graph_4_2_nodes_37_177,1
graph_4_4_nodes_25_102,1
graph_1_4_nodes_85_109,0
graph_2_4_nodes_57_122,0
graph_1_2_nodes_109_111,0
graph_4_3_nodes_74_172,1
graph_3_4_nodes_16_18,0
graph_4_5_nodes_76_150,0
graph_4_1_nodes_6_116,0
graph_1_1_nodes_37_194,0
graph_4_1_nodes_85_112,0
graph_1_4_nodes_140_147,1
graph_1_1_nodes_48_194,0
graph_1_1_nodes_3_182,0
graph_2_1_nodes_52_64,0
graph_1_3_nodes_52_84,0
graph_3_3_nodes_34_153,0
graph_2_4_nodes_18_44,0
graph_4_1_nodes_113_155,0
graph_1_5_nodes_114_164,0
graph_4_3_nodes_135_138,0
graph_1_4_nodes_37_147,0
graph_1_1_nodes_66_73,0
graph_4_2_nodes_133_154,1
graph_1_5_nodes_28_132,0
graph_3_3_nodes_9_22,0
graph_1_1_nodes_32_49,0
graph_4_3_nodes_95_152,0
graph_2_5_nodes_7_199,0
graph_2_1_nodes_83_103,0
graph_4_4_nodes_95_152,1
graph_4_5_nodes_85_165,0
graph_3_4_nodes_175_187,0
graph_4_3_nodes_4_198,0
graph_4_2_nodes_18_84,1
graph_2_2_nodes_28_51,0
graph_1_4_nodes_106_174,0
graph_2_1_nodes_55_128,0
graph_2_2_nodes_131_144,0
graph_3_3_nodes_1_135,1
graph_4_1_nodes_84_174,0
graph_4_1_nodes_81_135,0
graph_1_3_nodes_72_139,0
graph_4_3_nodes_26_59,0
graph_2_1_nodes_40_45,0
graph_1_1_nodes_28_153,0
graph_3_1_nodes_48_163,1
graph_4_3_nodes_46_181,0
graph_3_4_nodes_33_52,0
graph_4_2_nodes_103_195,1
graph_4_5_nodes_132_139,1
graph_3_3_nodes_24_176,0
graph_1_5_nodes_15_178,0
graph_3_5_nodes_170_190,0
graph_4_3_nodes_4_75,0
graph_3_4_nodes_38_96,0
graph_4_5_nodes_12_154,0
graph_4_5_nodes_74_76,0
graph_4_3_nodes_153_188,0
graph_1_3_nodes_83_179,0
graph_4_2_nodes_6_121,1
graph_4_4_nodes_35_48,1
graph_2_1_nodes_84_123,0
graph_3_2_nodes_54_194,0
graph_3_5_nodes_26_97,0
graph_4_4_nodes_79_190,1
graph_2_4_nodes_57_147,0
graph_1_3_nodes_39_173,0
graph_1_2_nodes_80_85,0
graph_3_4_nodes_122_129,0
graph_3_4_nodes_156_197,0
graph_3_3_nodes_35_125,0
graph_1_4_nodes_150_189,0
graph_3_5_nodes_125_137,0
graph_2_4_nodes_32_160,0
graph_3_4_nodes_31_191,0
graph_1_3_nodes_47_130,0
graph_2_2_nodes_9_158,0
graph_4_5_nodes_49_138,1
graph_4_1_nodes_94_141,0
graph_3_2_nodes_49_138,0
graph_2_5_nodes_86_188,0
graph_1_4_nodes_94_175,0
graph_3_3_nodes_63_89,0
graph_1_5_nodes_88_124,0
graph_4_1_nodes_8_74,0
graph_4_1_nodes_68_198,0
graph_3_1_nodes_61_129,1
graph_2_5_nodes_113_126,0
graph_3_2_nodes_46_64,0
graph_3_3_nodes_82_196,0
graph_3_4_nodes_10_106,0
graph_3_3_nodes_55_103,0
graph_3_4_nodes_171_189,0
graph_1_1_nodes_88_175,0
graph_4_1_nodes_195_196,0
graph_3_5_nodes_178_185,1
graph_3_2_nodes_61_75,0
graph_4_4_nodes_28_97,1
graph_1_2_nodes_72_189,0
graph_4_5_nodes_25_52,0
graph_4_1_nodes_71_129,0
graph_4_2_nodes_12_45,1
graph_2_3_nodes_98_189,0
graph_1_1_nodes_106_142,0
graph_2_5_nodes_145_174,0
graph_3_4_nodes_66_179,0
graph_1_4_nodes_29_152,0
graph_1_1_nodes_73_181,0
graph_4_2_nodes_83_188,1
graph_3_4_nodes_122_199,0
graph_4_1_nodes_2_134,1
graph_4_3_nodes_107_140,1
graph_3_4_nodes_118_164,0
graph_4_2_nodes_82_143,1
graph_4_2_nodes_71_88,1
graph_1_2_nodes_4_108,1
graph_4_4_nodes_147_169,1
graph_4_4_nodes_2_161,1
graph_3_4_nodes_127_169,0
graph_1_1_nodes_81_87,0
graph_1_3_nodes_80_119,0
graph_2_5_nodes_72_188,0
graph_2_5_nodes_170_172,1
graph_3_3_nodes_103_198,0
graph_1_5_nodes_74_179,0
graph_2_1_nodes_47_122,0
graph_2_2_nodes_22_115,0
graph_4_1_nodes_102_121,0
graph_1_5_nodes_50_164,0
graph_3_3_nodes_9_18,0
graph_3_3_nodes_16_42,1
graph_1_1_nodes_57_135,0
graph_2_2_nodes_79_97,0
graph_3_2_nodes_25_127,0
graph_3_5_nodes_95_136,0
graph_3_5_nodes_53_151,0
graph_3_5_nodes_70_86,0
graph_3_1_nodes_59_68,0
graph_2_4_nodes_46_49,0
graph_3_3_nodes_27_179,0
graph_2_3_nodes_84_190,0
graph_1_4_nodes_35_129,0
graph_2_2_nodes_1_66,0
graph_2_3_nodes_4_105,0
graph_3_3_nodes_97_192,0
graph_3_5_nodes_106_193,1
graph_3_4_nodes_121_155,1
graph_3_5_nodes_45_63,0
graph_3_5_nodes_156_174,0
graph_3_3_nodes_89_181,0
graph_4_3_nodes_28_61,0
graph_1_1_nodes_54_98,0
graph_4_2_nodes_69_168,1
graph_3_2_nodes_135_172,1
graph_4_1_nodes_164_174,0
graph_2_3_nodes_107_159,0
graph_1_1_nodes_115_187,0
graph_2_4_nodes_7_195,0
graph_4_2_nodes_71_171,1
graph_2_1_nodes_124_137,0
graph_4_2_nodes_5_74,1
graph_3_2_nodes_38_90,0
graph_1_5_nodes_6_128,0
graph_4_2_nodes_6_69,1
graph_3_1_nodes_64_184,0
graph_4_2_nodes_123_150,1
graph_1_2_nodes_22_52,0
graph_3_4_nodes_85_168,0
graph_2_3_nodes_60_169,0
graph_4_2_nodes_110_152,1
graph_2_3_nodes_44_121,0
graph_1_4_nodes_43_172,0
