,Degree_A,Clustering Coefficient_A,Betweenness_A,Closeness_A,Shortest Path_A,Eigenvector_A,E In_A,E Out_A,E In Over E Out_A,ODF_A,Expansion_A,Cut Ratio_A,Conductance_A,Normalised Cut_A,Triangle Participation_A,Degree_B,Clustering Coefficient_B,Betweenness_B,Closeness_B,Shortest Path_B,Eigenvector_B,E In_B,E Out_B,E In Over E Out_B,ODF_B,Expansion_B,Cut Ratio_B,Conductance_B,Normalised Cut_B,Triangle Participation_B,Shortest Path Length,Triadic Closure,Mean Deg. on Path,Median Deg. on Path,Max Deg. on Path,Min Deg. on Path,Var of Deg. on Path
graph_3_4_nodes_84_198,5.0,0.4,0.002233906496439413,0.3553571428571429,2.814070351758794,0.069312421588502,4.0,1.0,4.0,0.20000000000000004,0.03217989485117268,0.005925701532464526,0.11111111111111116,0.11175008874689384,0.16089947425586346,7.0,0.14285714285714285,0.006917639673757919,0.3442906574394464,2.9045226130653266,0.0348455954302848,3.003,3.997,0.7524500000000001,0.5709999999999998,0.21611591509681075,0.022059251883065442,0.3997030303030304,0.4022488939036654,0.16193340805929807,3,0,10.0,9.0,17,5,21.0
graph_4_1_nodes_97_153,7.0,0.0,0.006020209352377718,0.3678373382624769,2.7185929648241207,0.037667274193782484,3.023,3.977,0.8562833333333333,0.5681428571428571,0.20712688962447484,0.022730284365328847,0.4067207070707071,0.4090057324771951,0.0,7.0,0.0,0.006216929954409571,0.3664825046040516,2.728643216080402,0.036382491785628496,3.267,3.733,0.9782,0.5332857142857143,0.19322164266864728,0.021322149434345832,0.3718226884226885,0.3739684621868945,0.0,3,0,9.0,7.0,16,6,16.5
graph_2_3_nodes_125_140,14.0,0.12087912087912088,0.017082337889931784,0.37265917602996257,2.6834170854271355,0.07401948439402012,11.998,2.002,5.995333333333333,0.14299999999999993,0.0731143214031855,0.01159885123419572,0.07700923076923076,0.0781758913337971,0.4016466248603774,13.0,0.1794871794871795,0.01509281459991421,0.3826923076923077,2.613065326633166,0.07090887917000667,10.0,3.0,3.334416666666667,0.23076923076923084,0.14141151528711046,0.016782341381055926,0.13043906455862975,0.13218223511753513,0.5183276443112097,3,0,10.75,10.5,14,8,7.6875
graph_4_3_nodes_115_190,14.0,0.054945054945054944,0.021315810362336544,0.3948412698412698,2.5326633165829144,0.09986472207236408,7.041,6.959,1.0787909090909091,0.4970714285714286,0.27064617692804105,0.04029853810645704,0.3356675363134645,0.3399068164847332,0.23957973919766395,7.0,0.14285714285714285,0.005104769354357714,0.381957773512476,2.6180904522613067,0.07947757836481856,4.38,2.62,1.9556333333333331,0.3742857142857142,0.10001941902183656,0.015221067557312904,0.23620380730380724,0.23779889253277564,0.14581650048797334,3,0,13.75,14.5,19,7,18.6875
graph_2_4_nodes_15_87,6.0,0.06666666666666668,0.0071100757321157955,0.3454861111111111,2.8944723618090453,0.02867948929311105,3.968,2.032,1.97,0.3386666666666666,0.10172949039264832,0.01128818731409201,0.2042909090909092,0.2055208257755889,0.15007522974101914,6.0,0.4666666666666667,0.0026348950335718982,0.3407534246575342,2.9346733668341707,0.06368380550774201,4.0310000000000015,1.969,2.093,0.3281666666666666,0.08074596694770607,0.011214758492641093,0.1966181818181819,0.19781010457715084,0.2062286130214392,4,0,10.0,7.0,23,6,42.8
graph_2_4_nodes_102_152,7.0,0.2857142857142857,0.004893307775446669,0.3316666666666667,3.0150753768844223,0.03784472995382022,6.0,1.0,6.0,0.1428571428571428,0.04119701001092305,0.005691355103726833,0.0769230769230769,0.07753024146466768,0.2471820600655384,23.0,0.16666666666666666,0.04481276238649947,0.4004024144869216,2.4974874371859297,0.1869410816058958,17.005,5.995,2.839357142857143,0.26065217391304346,0.2704053615868832,0.03371566465065341,0.14987414008755467,0.15355206014501527,0.721707582972583,3,0,12.25,9.5,23,7,42.6875
graph_1_1_nodes_84_105,5.0,0.4,0.0008825610545826106,0.2855093256814921,3.5025125628140703,0.010073961149170916,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.2727154150197627,6.0,0.5333333333333333,0.0011949422865852376,0.3128930817610063,3.1959798994974875,0.14404470153776655,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.21875,4,0,7.2,6.0,11,5,4.5600000000000005
graph_1_2_nodes_124_158,5.0,0.5,0.0006255852399075942,0.3010590015128593,3.3216080402010046,0.06130434959900096,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.19354838709677416,9.0,0.1111111111111111,0.008765901999449916,0.3066255778120185,3.2613065326633164,0.015461119501858776,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.22218253968253976,4,0,9.2,9.0,12,5,5.76
graph_4_3_nodes_70_172,7.0,0.0,0.004716578931234296,0.3540925266903915,2.8241206030150754,0.049546556535129085,4.166,2.834,1.8915833333333327,0.4048571428571429,0.11244898331763784,0.016440690274673687,0.2660867909867909,0.26781094698133323,0.0,8.0,0.13333333333333333,0.0035464001206591523,0.3503521126760563,2.8542713567839195,0.05469872326271225,5.15,2.85,2.222666666666667,0.35625,0.14365074749562684,0.016183291206647542,0.2221186813186813,0.2238550317977336,0.15375298873048526,4,0,10.0,8.0,14,7,8.4
graph_1_1_nodes_18_87,9.0,0.19444444444444445,0.014053893940440751,0.3080495356037152,3.2462311557788945,0.017444786960328643,8.0,1.0,8.0,0.11111111111111116,0.032543010752688166,0.005907935955447269,0.05882352941176471,0.05949153208377541,0.2928870967741936,4.0,0.6666666666666666,0.0006532164834381348,0.30197268588770865,3.3115577889447234,0.1059075212890543,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15625,4,0,9.6,9.0,20,4,30.64
graph_2_2_nodes_48_68,5.0,0.2,0.0026160484155017057,0.34973637961335674,2.85929648241206,0.04098360704614263,4.0,1.0,4.0,0.20000000000000004,0.03317953380740505,0.005887370823095968,0.11111111111111116,0.11171461141286128,0.1327181352296202,7.0,0.3809523809523809,0.001915985893754643,0.32676518883415434,3.0603015075376883,0.07672377124897538,6.0520000000000005,0.948,6.0295,0.1354285714285714,0.030545822491702707,0.0056109532306124355,0.07303846153846152,0.07361194453380597,0.2267567837059993,3,0,13.25,7.5,33,5,131.1875
graph_3_4_nodes_57_133,6.0,0.2,0.0044798585751104365,0.3624772313296904,2.758793969849246,0.05339682966612478,4.927,1.073,4.783,0.1788333333333333,0.053146597287369854,0.005982078364382935,0.09889696969696968,0.09958328863303707,0.24405274371510816,17.0,0.08571428571428573,0.028320314494793625,0.3856589147286822,2.5929648241206027,0.10135428450004746,10.806,6.194,1.7753174603174595,0.3643529411764705,0.30829602538489004,0.034507424406390805,0.2233892043843768,0.2273679458790613,0.4444439744064427,1,2,11.5,11.5,17,6,30.25
graph_3_1_nodes_2_53,13.0,0.19230769230769232,0.01123786281809598,0.3909626719056975,2.557788944723618,0.13499330237210255,9.304,3.696,2.6072833333333336,0.28430769230769226,0.1187658345963433,0.02191102938212646,0.16631446452098622,0.1686139695943459,0.32311031056618245,7.0,0.2380952380952381,0.004624420176592522,0.3611615245009073,2.7688442211055286,0.054197283476886064,6.0,1.0,6.0,0.1428571428571428,0.036113023580902265,0.005807626077672516,0.0769230769230769,0.07754380938738481,0.2527911650663159,3,0,10.25,10.0,16,5,19.6875
graph_4_5_nodes_95_167,10.0,0.07142857142857142,0.00742572552366023,0.35346358792184723,2.8291457286432165,0.04859963891211285,5.789,4.211,1.6058571428571426,0.4211,0.18970579893442727,0.024183099476698524,0.27282723399751263,0.2754501005157938,0.09543933484022553,7.0,0.19047619047619047,0.003912943392314383,0.3466898954703833,2.884422110552764,0.04848451024932999,4.369,2.631,2.1160333333333328,0.3758571428571428,0.10196732340238246,0.01531879700212663,0.2421123931623931,0.2437495490987404,0.14628692566115345,4,0,9.0,8.0,15,5,11.6
graph_2_2_nodes_26_186,5.0,0.2,0.0035162836943635066,0.34608695652173915,2.8894472361809047,0.03669226963740554,3.197,1.803,1.9925,0.3606,0.05995339464484348,0.010610695465070263,0.2226388888888889,0.2237252483278517,0.1327181352296202,8.0,0.17857142857142858,0.005980509348347861,0.34973637961335674,2.85929648241206,0.04969161805287318,6.0,2.0,3.0,0.25,0.0711686577090359,0.011635120505491472,0.1428571428571428,0.14406633269994815,0.2490903019816257,4,0,8.8,8.0,15,5,11.36
graph_4_1_nodes_57_90,13.0,0.10909090909090907,0.010783690936600102,0.4028340080971661,2.4824120603015074,0.0927848808555193,8.431000000000001,4.569,1.9396301587301592,0.35146153846153844,0.16150305183869232,0.026920620343257068,0.2154287226727596,0.21806942913932767,0.21775576610346184,4.0,0.0,0.0009912474288191278,0.3442906574394464,2.9045226130653266,0.028438909118746507,2.1830000000000003,1.817,1.5463333333333336,0.45425,0.0804757081422322,0.01055473598652277,0.3122380952380952,0.3132821482549133,0.0,3,0,9.5,10.5,13,4,12.25
graph_3_5_nodes_29_110,4.0,0.16666666666666666,0.0013702508221967327,0.31942215088282505,3.130653266331658,0.01796474107821509,2.98,1.02,2.96,0.255,0.04126196472501964,0.00582759102008035,0.14666666666666664,0.14723934085837131,0.11801956464153328,7.0,0.047619047619047616,0.006718142764045111,0.3776091081593928,2.648241206030151,0.05739781846633413,2.919,4.081,0.7249166666666668,0.5829999999999997,0.19592870101430845,0.022833768886579703,0.4130454545454546,0.41533260141423,0.00025,3,0,9.0,9.5,13,4,13.5
graph_2_3_nodes_6_80,8.0,0.17857142857142858,0.00900722628624121,0.3547237076648841,2.8190954773869352,0.04635229974616774,5.0,3.0,1.666666666666667,0.375,0.12395420796594712,0.01706668994488329,0.2307692307692308,0.2325023330222637,0.16527227728792945,5.0,0.0,0.0008626299592327841,0.2867435158501441,3.487437185929648,0.013614512952009898,3.999,1.001,3.996,0.20020000000000004,0.040695137270137266,0.005707613413848142,0.1112777777777778,0.11185605223161063,0.0,4,0,9.0,7.0,20,5,31.6
graph_4_5_nodes_15_27,10.0,0.1111111111111111,0.009194334466404554,0.37265917602996257,2.6834170854271355,0.07097770650722365,5.92,4.08,1.5336190476190474,0.408,0.14088747869687854,0.023998178318764062,0.2592807405013288,0.2618233452106903,0.19466329907801072,5.0,0.0,0.00373471178278756,0.3712686567164179,2.6934673366834168,0.05527498491025147,1.61,3.39,0.5358333333333333,0.6779999999999999,0.15323250158429766,0.01946498805811477,0.5259523809523811,0.5280546893931474,0.0,2,0,8.666666666666666,10.0,11,5,6.8888888888888875
graph_3_3_nodes_6_98,5.0,0.1,0.0028709682649704217,0.33111480865224624,3.020100502512563,0.02479575556574709,3.414,1.586,2.6045833333333337,0.31720000000000004,0.052625178301553936,0.009366849292577438,0.19452380952380954,0.1955191580545544,0.09180951147040976,6.0,0.13333333333333333,0.0047430943402487465,0.3611615245009073,2.7688442211055286,0.07643662387497006,3.209,2.7910000000000004,1.209,0.4651666666666666,0.09299947694809962,0.016434507960323873,0.3054666666666667,0.3072170037754079,0.13280939684653614,3,0,7.0,6.5,10,5,3.5
graph_2_4_nodes_17_89,8.0,0.10714285714285714,0.010928515224401868,0.34912280701754383,2.864321608040201,0.04784146253464037,5.002,2.998,1.6693333333333336,0.37475,0.14901649674785789,0.016673096686550166,0.23059340659340666,0.23240928017399626,0.1987507113925263,11.0,0.0,0.019201208303616046,0.3644688644688645,2.7437185929648242,0.06179086504919028,6.8370000000000015,4.163,1.6757936507936508,0.3784545454545454,0.1834494751544752,0.023489763537627047,0.2347233448440105,0.23724835315251866,0.0,3,0,10.5,9.5,17,6,17.25
