,Same Community
graph_3_4_nodes_84_198,0
graph_4_1_nodes_97_153,0
graph_2_3_nodes_125_140,0
graph_4_3_nodes_115_190,0
graph_2_4_nodes_15_87,0
graph_2_4_nodes_102_152,0
graph_1_1_nodes_84_105,0
graph_1_2_nodes_124_158,0
graph_4_3_nodes_70_172,0
graph_1_1_nodes_18_87,0
graph_2_2_nodes_48_68,0
graph_3_4_nodes_57_133,1
graph_3_1_nodes_2_53,0
graph_4_5_nodes_95_167,0
graph_2_2_nodes_26_186,0
graph_4_1_nodes_57_90,0
graph_3_5_nodes_29_110,0
graph_2_3_nodes_6_80,0
graph_4_5_nodes_15_27,0
graph_3_3_nodes_6_98,0
graph_2_4_nodes_17_89,0
graph_4_3_nodes_13_164,0
graph_1_5_nodes_138_159,0
graph_3_2_nodes_127_180,0
graph_1_5_nodes_58_118,0
graph_4_4_nodes_160_171,0
graph_1_3_nodes_163_189,0
graph_3_3_nodes_69_93,0
graph_1_4_nodes_98_141,0
graph_4_3_nodes_23_90,0
graph_2_4_nodes_33_172,0
graph_4_5_nodes_45_113,0
graph_4_5_nodes_119_163,0
graph_3_2_nodes_3_38,0
graph_2_1_nodes_90_131,1
graph_3_3_nodes_53_157,0
graph_1_5_nodes_23_155,0
graph_2_2_nodes_110_192,0
graph_4_1_nodes_18_158,0
graph_3_2_nodes_62_133,0
graph_1_2_nodes_13_128,0
graph_3_3_nodes_29_165,1
graph_2_5_nodes_99_181,0
graph_4_2_nodes_26_122,0
graph_1_5_nodes_36_196,0
graph_3_5_nodes_125_141,0
graph_4_3_nodes_54_185,0
graph_2_3_nodes_173_175,0
graph_1_5_nodes_149_197,0
graph_1_3_nodes_31_126,0
graph_1_1_nodes_35_170,0
graph_4_5_nodes_59_173,0
graph_2_3_nodes_126_149,0
graph_2_4_nodes_50_188,0
graph_4_4_nodes_135_183,0
graph_3_4_nodes_11_23,0
graph_1_2_nodes_53_73,0
graph_2_2_nodes_59_110,0
graph_2_2_nodes_19_113,0
graph_2_4_nodes_21_71,0
graph_2_5_nodes_36_196,0
graph_2_5_nodes_44_63,1
graph_2_2_nodes_72_118,0
graph_2_4_nodes_31_88,0
graph_1_3_nodes_39_116,0
graph_1_2_nodes_134_172,0
graph_4_3_nodes_131_163,0
graph_4_1_nodes_125_146,0
graph_2_3_nodes_128_146,0
graph_1_3_nodes_177_186,0
graph_3_5_nodes_143_160,0
graph_2_5_nodes_102_141,0
graph_1_5_nodes_7_68,0
graph_3_4_nodes_24_113,0
graph_2_5_nodes_53_191,0
graph_2_2_nodes_46_55,0
graph_1_2_nodes_53_140,0
graph_2_5_nodes_81_85,0
graph_4_2_nodes_44_49,0
graph_3_3_nodes_0_131,0
graph_2_3_nodes_54_110,0
graph_2_4_nodes_122_136,0
graph_2_2_nodes_63_101,1
graph_4_1_nodes_51_129,0
graph_4_3_nodes_4_177,0
graph_4_5_nodes_24_107,0
graph_2_1_nodes_116_183,0
graph_4_4_nodes_4_84,0
graph_3_1_nodes_114_181,0
graph_2_2_nodes_14_118,0
graph_1_1_nodes_161_162,0
graph_1_4_nodes_108_110,0
graph_4_1_nodes_51_59,1
graph_2_4_nodes_19_108,0
graph_3_5_nodes_155_190,0
graph_4_5_nodes_50_159,0
graph_4_1_nodes_59_107,0
graph_3_5_nodes_138_161,0
graph_3_2_nodes_46_186,0
graph_3_1_nodes_8_110,0
graph_2_3_nodes_82_142,0
graph_2_4_nodes_120_184,1
graph_2_1_nodes_101_143,1
graph_3_2_nodes_12_91,0
graph_4_2_nodes_153_178,0
graph_2_1_nodes_42_72,0
graph_3_4_nodes_124_167,0
graph_2_3_nodes_168_169,1
graph_1_2_nodes_92_94,0
graph_4_2_nodes_163_173,0
graph_1_3_nodes_158_179,0
graph_1_1_nodes_89_178,1
graph_3_1_nodes_139_171,1
graph_2_2_nodes_28_74,0
graph_1_5_nodes_3_92,1
graph_2_2_nodes_42_107,0
graph_1_4_nodes_64_168,0
graph_1_5_nodes_101_129,0
graph_2_1_nodes_14_85,0
graph_1_1_nodes_23_156,0
graph_4_1_nodes_75_134,0
graph_4_1_nodes_45_107,0
graph_4_5_nodes_73_127,0
graph_3_3_nodes_167_198,0
graph_3_4_nodes_14_98,0
graph_2_1_nodes_59_90,0
graph_2_4_nodes_198_199,1
graph_3_3_nodes_180_186,0
graph_3_5_nodes_34_121,0
graph_2_5_nodes_145_150,0
graph_1_2_nodes_145_169,0
graph_3_4_nodes_155_176,0
graph_2_1_nodes_13_15,0
graph_3_5_nodes_33_34,1
graph_3_4_nodes_60_154,0
graph_3_2_nodes_102_146,0
graph_3_2_nodes_123_156,0
graph_1_2_nodes_4_139,0
graph_3_5_nodes_42_111,0
graph_1_2_nodes_7_79,0
graph_4_5_nodes_64_156,0
graph_1_1_nodes_22_155,0
graph_2_1_nodes_121_152,0
graph_4_4_nodes_20_170,0
graph_2_3_nodes_14_81,0
graph_3_2_nodes_102_125,0
graph_2_2_nodes_62_145,0
graph_1_3_nodes_2_172,1
graph_1_2_nodes_144_185,0
graph_1_1_nodes_76_171,0
graph_1_1_nodes_25_73,0
graph_4_3_nodes_64_197,0
graph_3_5_nodes_142_166,1
graph_1_5_nodes_2_26,1
graph_3_4_nodes_52_55,0
graph_1_4_nodes_84_194,0
graph_4_2_nodes_37_127,0
graph_3_5_nodes_0_17,1
graph_1_2_nodes_18_94,0
graph_2_5_nodes_62_162,0
graph_2_4_nodes_57_142,0
graph_1_5_nodes_65_122,0
graph_3_4_nodes_39_151,0
graph_4_4_nodes_91_150,0
graph_3_5_nodes_42_138,0
graph_1_4_nodes_39_63,0
graph_1_4_nodes_135_161,1
graph_3_2_nodes_137_161,0
graph_3_3_nodes_1_78,1
graph_4_1_nodes_152_179,1
graph_2_5_nodes_150_157,0
graph_1_1_nodes_62_174,0
graph_1_2_nodes_105_135,0
graph_1_4_nodes_131_137,0
graph_3_1_nodes_54_176,0
graph_4_4_nodes_67_110,0
graph_2_3_nodes_29_107,0
graph_3_5_nodes_76_145,1
graph_1_4_nodes_86_127,0
graph_1_4_nodes_62_147,0
graph_2_2_nodes_130_141,0
graph_1_4_nodes_5_107,1
graph_2_5_nodes_72_81,0
graph_1_4_nodes_10_48,0
graph_1_2_nodes_65_125,0
graph_3_2_nodes_71_144,0
graph_1_2_nodes_27_172,0
graph_4_5_nodes_24_137,0
graph_4_5_nodes_5_195,0
graph_4_3_nodes_85_157,0
graph_4_4_nodes_154_196,0
graph_1_5_nodes_8_94,0
graph_4_4_nodes_128_181,0
graph_1_4_nodes_19_37,1
graph_3_3_nodes_47_147,1
graph_1_3_nodes_101_172,0
graph_4_5_nodes_58_87,0
graph_1_2_nodes_40_108,0
graph_1_4_nodes_19_81,0
graph_3_2_nodes_32_59,0
graph_4_1_nodes_3_160,0
graph_3_5_nodes_5_22,0
graph_1_3_nodes_3_32,0
graph_2_2_nodes_74_146,0
graph_4_5_nodes_2_103,0
graph_1_3_nodes_155_156,0
graph_4_2_nodes_23_198,1
graph_4_4_nodes_115_138,0
graph_4_4_nodes_33_139,0
graph_2_5_nodes_5_67,0
graph_4_5_nodes_68_128,0
graph_4_5_nodes_9_67,0
graph_4_3_nodes_61_185,0
graph_3_4_nodes_155_169,0
graph_4_5_nodes_112_175,0
graph_3_5_nodes_97_108,0
graph_1_2_nodes_111_178,0
graph_1_1_nodes_4_122,1
graph_4_2_nodes_102_123,0
graph_4_5_nodes_93_186,0
graph_4_2_nodes_83_164,0
graph_4_1_nodes_44_127,0
graph_3_1_nodes_15_78,0
graph_1_1_nodes_127_197,1
graph_2_2_nodes_33_163,0
graph_3_1_nodes_130_157,0
graph_2_1_nodes_81_166,0
graph_3_5_nodes_140_158,0
graph_3_2_nodes_12_196,0
graph_3_3_nodes_13_37,0
graph_2_4_nodes_39_106,0
graph_4_2_nodes_145_174,0
graph_4_5_nodes_28_183,0
graph_4_5_nodes_22_84,0
graph_1_1_nodes_79_179,1
graph_1_1_nodes_28_178,1
graph_3_4_nodes_3_41,0
graph_4_2_nodes_150_161,0
graph_1_5_nodes_90_115,0
graph_3_2_nodes_9_107,0
graph_3_3_nodes_48_169,0
graph_4_3_nodes_52_71,0
graph_1_1_nodes_77_172,0
graph_3_1_nodes_7_62,0
graph_2_3_nodes_174_191,0
graph_4_2_nodes_94_177,0
graph_1_1_nodes_107_108,0
graph_4_1_nodes_56_102,1
graph_4_2_nodes_49_131,0
graph_4_1_nodes_153_197,0
graph_3_3_nodes_104_131,0
graph_2_2_nodes_39_95,0
graph_1_5_nodes_47_78,1
graph_3_3_nodes_4_16,1
graph_3_4_nodes_41_163,0
graph_4_3_nodes_36_76,0
graph_2_5_nodes_111_167,0
graph_1_5_nodes_86_138,0
graph_4_5_nodes_112_192,0
graph_2_4_nodes_6_195,0
graph_3_5_nodes_44_101,0
graph_3_5_nodes_68_92,0
graph_2_2_nodes_4_32,1
graph_4_1_nodes_34_177,0
graph_3_1_nodes_45_168,0
graph_1_2_nodes_20_96,0
graph_3_5_nodes_92_131,0
graph_1_3_nodes_25_48,1
graph_4_5_nodes_165_167,0
graph_4_1_nodes_90_110,1
graph_2_1_nodes_105_152,1
graph_1_3_nodes_63_92,0
graph_3_4_nodes_165_199,0
graph_3_2_nodes_0_132,0
graph_3_3_nodes_0_41,0
graph_4_1_nodes_19_140,0
graph_1_1_nodes_30_164,0
graph_4_3_nodes_37_106,0
graph_1_5_nodes_157_161,0
graph_4_1_nodes_7_133,0
graph_3_4_nodes_85_106,1
graph_2_3_nodes_60_101,0
graph_1_1_nodes_140_198,0
graph_1_1_nodes_4_115,0
graph_1_5_nodes_88_152,0
graph_1_2_nodes_37_101,0
graph_4_1_nodes_54_115,1
graph_1_1_nodes_65_155,0
graph_4_5_nodes_78_163,0
graph_1_5_nodes_15_113,0
graph_1_3_nodes_167_191,0
graph_4_2_nodes_22_48,0
graph_2_3_nodes_55_170,0
graph_2_2_nodes_37_195,0
graph_4_5_nodes_38_189,0
graph_1_5_nodes_48_116,0
graph_3_4_nodes_3_191,0
graph_1_5_nodes_112_123,0
graph_1_3_nodes_92_148,0
graph_2_5_nodes_84_161,0
graph_1_3_nodes_140_192,0
graph_4_2_nodes_80_92,0
graph_4_4_nodes_34_103,0
graph_4_4_nodes_26_119,0
graph_3_2_nodes_14_34,0
graph_3_1_nodes_144_175,1
graph_1_5_nodes_8_156,0
graph_4_3_nodes_117_127,0
graph_4_2_nodes_166_189,0
graph_3_4_nodes_83_111,0
graph_2_5_nodes_0_175,0
graph_4_3_nodes_54_154,0
graph_2_4_nodes_91_134,0
graph_1_4_nodes_35_185,0
graph_1_1_nodes_135_194,0
graph_3_2_nodes_7_74,0
graph_2_1_nodes_12_24,0
graph_4_4_nodes_126_193,0
graph_4_1_nodes_49_176,0
graph_4_4_nodes_28_36,0
graph_1_5_nodes_36_180,0
graph_3_4_nodes_70_119,0
graph_1_1_nodes_31_94,0
graph_3_1_nodes_96_194,0
graph_2_1_nodes_59_186,1
graph_3_5_nodes_109_155,0
graph_3_4_nodes_5_127,0
graph_2_5_nodes_160_168,0
graph_2_2_nodes_78_90,0
graph_4_3_nodes_37_170,0
graph_2_3_nodes_43_63,0
graph_2_4_nodes_82_185,0
graph_4_4_nodes_77_159,0
graph_2_4_nodes_36_55,0
graph_2_3_nodes_48_111,0
graph_4_2_nodes_32_191,0
graph_3_3_nodes_54_93,0
graph_2_2_nodes_6_149,0
graph_1_4_nodes_96_118,0
graph_1_2_nodes_32_100,0
graph_4_4_nodes_113_139,0
graph_2_5_nodes_33_116,0
graph_2_1_nodes_21_161,0
graph_2_2_nodes_17_66,0
graph_1_5_nodes_104_120,1
graph_4_5_nodes_70_91,0
graph_3_5_nodes_43_104,0
graph_3_1_nodes_33_64,0
graph_3_3_nodes_51_150,0
graph_4_5_nodes_60_85,0
graph_1_3_nodes_87_170,0
graph_3_4_nodes_71_155,1
graph_3_1_nodes_34_60,0
graph_3_4_nodes_40_153,0
graph_3_5_nodes_15_153,0
graph_4_4_nodes_115_137,0
graph_1_1_nodes_41_121,0
graph_2_1_nodes_164_198,0
graph_3_5_nodes_80_113,0
graph_2_5_nodes_15_151,0
graph_4_5_nodes_91_100,0
graph_1_4_nodes_34_90,0
graph_2_5_nodes_31_106,1
graph_4_5_nodes_46_188,0
graph_2_3_nodes_51_188,0
graph_2_2_nodes_68_198,0
graph_2_4_nodes_119_186,0
graph_3_1_nodes_61_78,0
graph_2_1_nodes_35_199,0
graph_4_2_nodes_40_142,0
graph_2_3_nodes_56_134,0
graph_1_3_nodes_85_152,0
graph_3_3_nodes_55_130,0
graph_4_4_nodes_101_136,0
graph_2_4_nodes_123_145,0
graph_3_2_nodes_173_180,1
graph_3_5_nodes_91_145,0
graph_2_1_nodes_49_59,0
graph_4_2_nodes_35_101,1
