,Betweenness_A,Closeness_A,Clustering_A,Conductance_A,Cut Ratio_A,Degree_A,E In_A,E In Over E Out_A,E Out_A,Expansion_A,Normalised Cut_A,ODF_A,Shortest Path_A,Triangle Participation_A,Betweenness_B,Closeness_B,Clustering_B,Conductance_B,Cut Ratio_B,Degree_B,E In_B,E In Over E Out_B,E Out_B,Expansion_B,Normalised Cut_B,ODF_B,Shortest Path_B,Triangle Participation_B,Shortest Path Length,Triadic Closure,Mean Deg. on Path,Median Deg. on Path,Max Deg. on Path,Min Deg. on Path,Var of Deg. on Path
graph_4_2_nodes_130_151,0.006247855916777603,0.39250493096646943,0.09090909090909093,0.786272027972028,0.04599209296835726,11.0,1.103,0.14586428571428572,7.897,0.2994026017705209,0.7914749590268336,0.8774444444444444,2.5477386934673367,0.005989416446091086,0.00974323750591938,0.41372141372141374,0.054945054945054944,0.4794434099955772,0.04857782333978045,14.0,4.626,0.5717375180375179,8.374,0.3220698499989177,0.4849838491341985,0.6441538461538462,2.4170854271356785,0.011736238528036562,3,0,12.75,12.5,16,10,5.6875
graph_2_5_nodes_130_172,0.016497304635753045,0.3598553345388789,0.13333333333333333,0.9590727272727272,0.048925193206702834,10.0,0.205,0.025696428571428568,8.795,0.43880473973719997,0.96485723306573,0.9772222222222222,2.778894472361809,0.0,0.00563678334085808,0.3638025594149909,0.2,0.6225714285714286,0.027793374858757998,6.0,1.4280000000000002,0.3284,4.572,0.12885115291694238,0.6255914924825816,0.762,2.748743718592965,0.035495346669688774,3,0,7.0,6.5,10,5,3.5
graph_1_3_nodes_108_146,0.013420583597129608,0.3322203672787981,0.3090909090909091,0.7142857142857143,0.028735303776683086,13.0,1.0,0.2,5.0,0.19232307692307693,0.7175860443187176,0.8333333333333334,3.010050251256281,0.0,0.005989051289628369,0.2987987987987988,0.17857142857142858,0.8335,0.05747662530728855,8.0,0.9990000000000001,0.0999,10.001,0.3846748575498576,0.840079591008052,0.9091818181818182,3.3467336683417086,0.0,4,0,10.2,9.0,13,8,5.36
graph_3_3_nodes_106_146,0.01595449765081841,0.3804971319311664,0.06666666666666668,0.9949333333333332,0.023342141500254085,10.0,0.013000000000000001,0.0046666666666666645,3.987,0.1396140106738492,0.9975633289665355,0.99675,2.628140703517588,0.0,0.009651627704255265,0.3856589147286822,0.15555555555555556,0.6817327838827839,0.05221980617783342,10.0,2.09,0.2367361111111111,8.91,0.3095291955317866,0.6876071124328984,0.81,2.5929648241206027,0.0012482268190036733,2,0,15.666666666666664,10.0,27,10,64.22222222222223
graph_4_2_nodes_80_89,0.003759505550196706,0.3909626719056975,0.1388888888888889,0.4947539682539682,0.019298696073249882,11.0,1.7480000000000002,0.5928333333333333,3.252,0.10792811049021422,0.4969046339675514,0.6504,2.557788944723618,0.06602080002797722,0.0023256539924504343,0.3651376146788991,0.13333333333333333,0.6837976190476189,0.023083127877455967,6.0,1.008,0.2900833333333333,3.992,0.16863797650647258,0.6864338445051533,0.7984,2.738693467336684,8.823529411764706e-05,2,0,11.666666666666664,11.0,18,6,24.222222222222232
graph_1_2_nodes_129_155,0.003715537906063964,0.31942215088282505,0.37777777777777777,1.0,0.05325443786982249,10.0,0.0,0.0,9.0,0.2903225806451613,1.0059171597633136,1.0,3.130653266331658,0.0,0.0014720113873671328,0.2718579234972678,0.3,1.0,0.034682484204866235,5.0,0.0,0.0,6.0,0.2222063492063492,1.0039525691699605,1.0,3.6783919597989954,0.0,3,0,8.75,8.0,14,5,12.6875
graph_1_2_nodes_116_126,0.017546970322790803,0.3056835637480799,0.17777777777777778,1.0,0.022474195391354028,10.0,0.0,0.0,4.0,0.18167588932806325,1.0026385224274406,1.0,3.271356783919598,0.0,0.00710811110615794,0.2943786982248521,0.1,0.4545454545454545,0.028914353920921364,5.0,3.0,0.6,5.0,0.1846938542938543,0.4578545213886048,0.625,3.396984924623116,0.0,4,0,6.8,6.0,10,5,2.96
graph_4_5_nodes_55_104,0.001916165814919904,0.3553571428571429,0.1,0.5670119047619048,0.02129270393618533,7.0,1.431,0.4363333333333333,3.569,0.1138393029315977,0.5693708461842251,0.7138,2.814070351758794,0.00032694918120945075,0.0019304863301685066,0.3378607809847199,0.1,0.7370797202797202,0.0431201894556303,5.0,1.432,0.2057,7.568,0.3640716246232672,0.7420685398434473,0.8408888888888889,2.9597989949748738,0.012246064016892818,3,0,7.0,6.5,10,5,3.5
graph_4_5_nodes_63_100,0.0016589112115631373,0.34251290877796897,0.0,0.8571428571428571,0.0205487290498604,6.0,0.387,0.16,3.613,0.17263909210770514,0.8595273865206179,0.90325,2.9195979899497484,0.00018571428571428566,0.005515262439265046,0.3685185185185185,0.10714285714285714,0.9071190476190476,0.02683497813642393,8.0,0.289,0.07891666666666666,4.711,0.21922377296689474,0.9102259327975536,0.9422,2.7135678391959797,0.00021111111111111108,3,0,7.25,7.5,8,6,0.6875
graph_1_2_nodes_6_30,0.056995074378490836,0.3841698841698842,0.125,1.0,0.03446600985221675,19.0,0.0,0.0,6.0,0.2315538461538461,1.0039525691699605,1.0,2.6030150753768844,0.0,0.0009831102679692186,0.2779329608938548,0.5,0.6923076923076923,0.05056693963054657,6.0,2.0,0.2222222222222222,9.0,0.4087707509881423,0.6982404543380153,0.8181818181818182,3.597989949748744,0.0,4,0,10.0,8.0,19,5,26.0
graph_1_4_nodes_6_9,0.009854829313784737,0.3090062111801242,0.19047619047619047,1.0,0.03409363636363636,7.0,0.0,0.0,6.0,0.24986,1.0039525691699605,1.0,3.2361809045226133,0.0,0.011357043940403336,0.33501683501683505,0.14285714285714285,0.6,0.03409090909090909,7.0,2.0,0.3333333333333333,6.0,0.25,0.6039630118890357,0.75,2.9849246231155777,0.0,4,0,12.2,8.0,26,7,52.56
graph_3_5_nodes_33_147,0.00942183235384642,0.3644688644688645,0.1388888888888889,0.4530833333333333,0.02461119174965441,9.0,2.688,0.6569,4.312,0.17567423826787615,0.4559366024066963,0.616,2.743718592964824,0.1384422709191811,0.004876531368182284,0.3651376146788991,0.17857142857142858,0.9955277777777778,0.03932175981004283,8.0,0.019,0.0035,6.981,0.3145220528082503,1.0001237000957095,0.9972857142857144,2.738693467336684,0.0,3,0,11.75,11.0,17,8,12.6875
graph_1_5_nodes_109_159,0.004498722817361772,0.30474732006125577,0.1,0.2,0.01145195478231157,5.0,4.0,2.0,2.0,0.0789048433048433,0.20132802124834,0.3333333333333333,3.2814070351758797,0.0,0.007061628465062424,0.30381679389312977,0.2380952380952381,0.6947794117647058,0.06093970785045132,7.0,2.356,0.2239171717171717,10.644,0.4202871794871795,0.7017912886361513,0.8187692307692308,3.2914572864321614,0.05433903133903134,3,0,5.75,5.5,7,5,0.6875
graph_4_2_nodes_89_120,0.0023256539924504343,0.3651376146788991,0.13333333333333333,0.6837976190476189,0.023083127877455967,6.0,1.008,0.2900833333333333,3.992,0.16863797650647258,0.6864338445051533,0.7984,2.738693467336684,8.823529411764706e-05,0.0026042855405275533,0.35663082437275984,0.06666666666666668,0.8164404761904762,0.02536640278903022,6.0,0.602,0.18075,4.398,0.1925665982090773,0.8193422971196506,0.8796,2.8040201005025125,0.00275975699195362,3,0,6.75,6.5,8,6,0.6875
graph_2_1_nodes_88_180,0.003048193193435503,0.3316666666666667,0.0,0.7962909090909092,0.04691529059394667,4.0,1.024,0.12928571428571428,7.976,0.266873778643507,0.801545389570013,0.8862222222222221,3.0150753768844223,0.0008555430077169207,0.003615800835822576,0.3056835637480799,0.0,0.9682666666666668,0.02219287658988401,4.0,0.08,0.02733333333333333,3.92,0.17176759530527813,0.9708527273368488,0.98,3.271356783919598,0.0,3,0,7.5,6.5,13,4,14.25
graph_3_3_nodes_90_186,0.011620961147525736,0.3685185185185185,0.13333333333333333,0.9996,0.023485336688641084,10.0,0.001,0.0003333333333333333,3.9989999999999997,0.1372411279085284,1.002237866720611,0.99975,2.7135678391959797,0.0,0.005291138886060889,0.3338926174496644,0.0,0.75125,0.03561522131904138,6.0,0.995,0.16583333333333333,6.005,0.19312476393729028,0.7552110361976095,0.8578571428571428,2.9949748743718594,0.0,3,0,10.25,8.5,18,6,22.1875
graph_2_5_nodes_94_166,0.00024366021181237613,0.3042813455657493,0.16666666666666666,0.6585714285714286,0.024115630620845718,6.0,1.034,0.26416666666666666,3.966,0.11163822335203914,0.6611911131915678,0.7932,3.2864321608040203,0.0,0.006216017135576497,0.3338926174496644,0.13333333333333333,0.5430714285714285,0.025548148916172672,6.0,1.7990000000000002,0.4397,4.2010000000000005,0.11845736172720155,0.5458485515218189,0.7001666666666666,2.9949748743718594,0.06704400269911667,4,0,15.6,6.0,37,6,157.83999999999997
graph_4_1_nodes_132_190,0.0031373898888953076,0.3671586715867159,0.13333333333333333,0.9370714285714286,0.034040868240692954,6.0,0.222,0.0451,5.778,0.2203633009288776,0.9408791825352308,0.963,2.7236180904522613,0.00020022246941045607,0.0010756858079273006,0.3333333333333333,0.16666666666666666,0.973,0.028714493291664374,4.0,0.083,0.021916666666666668,4.917,0.1921960971055648,0.9762416811365359,0.9834,3.0,0.0,3,0,7.75,7.0,13,4,11.1875
graph_4_5_nodes_138_142,0.003729402149316403,0.3466898954703833,0.0,0.5948653846153846,0.04230568591406294,6.0,2.577,0.3609404761904762,7.422999999999999,0.34581137482941593,0.5997667897304426,0.7423,2.884422110552764,0.0037770590288455134,0.0019260835948540144,0.33614864864864863,0.0,0.7979047619047619,0.030665297232197887,5.0,0.726,0.15280000000000002,5.274,0.22903101619279,0.8013836113270638,0.879,2.9748743718592965,7.692307692307693e-05,3,0,7.25,7.0,10,5,3.6875
graph_1_3_nodes_48_194,0.005118432480232885,0.29701492537313434,0.0,0.6363636363636364,0.04022966044237472,4.0,2.0,0.2857142857142857,7.0,0.2692432336182336,0.6409840984098409,0.7777777777777778,3.3668341708542715,0.0,0.007873011082829218,0.2935103244837758,0.13333333333333333,0.7777777777777778,0.04022942528735632,6.0,1.0,0.14285714285714285,7.0,0.2692523076923077,0.7823921482458068,0.875,3.407035175879397,0.0,4,0,8.6,6.0,17,4,26.24
graph_2_3_nodes_52_143,0.008428072001750622,0.3598553345388789,0.14285714285714285,0.9993333333333332,0.02849544808749617,8.0,0.002,0.0005,4.998,0.2033202075702076,1.002628004297109,0.9996,2.778894472361809,0.0,0.012309589107490849,0.3797709923664122,0.07142857142857142,0.9990000000000001,0.033546871232613705,8.0,0.004,0.001,5.996,0.28250749309510065,1.0029499550369116,0.9993333333333332,2.6331658291457285,0.0,3,0,10.0,9.5,13,8,4.5
graph_3_2_nodes_15_58,0.003920810321531196,0.37335834896810505,0.3333333333333333,0.6,0.017510734801118262,10.0,1.0,0.3333333333333333,3.0,0.10487312092050714,0.6019828155981494,0.75,2.6783919597989962,0.0,0.0023334416418678266,0.34912280701754383,0.13333333333333333,0.9917142857142855,0.029068411812474555,6.0,0.026000000000000002,0.007166666666666668,4.974,0.1743331042250524,0.9949932509871864,0.9948,2.864321608040201,0.00027963537817196355,3,0,11.25,11.0,17,6,15.6875
