,Same Community
graph_4_2_nodes_130_151,0
graph_2_5_nodes_130_172,0
graph_1_3_nodes_108_146,0
graph_3_3_nodes_106_146,1
graph_4_2_nodes_80_89,0
graph_1_2_nodes_129_155,0
graph_1_2_nodes_116_126,0
graph_4_5_nodes_55_104,0
graph_4_5_nodes_63_100,0
graph_1_2_nodes_6_30,0
graph_1_4_nodes_6_9,0
graph_3_5_nodes_33_147,0
graph_1_5_nodes_109_159,1
graph_4_2_nodes_89_120,0
graph_2_1_nodes_88_180,0
graph_3_3_nodes_90_186,0
graph_2_5_nodes_94_166,0
graph_4_1_nodes_132_190,0
graph_4_5_nodes_138_142,0
graph_1_3_nodes_48_194,0
graph_2_3_nodes_52_143,0
graph_3_2_nodes_15_58,0
graph_1_2_nodes_103_106,0
graph_4_4_nodes_48_69,0
graph_3_5_nodes_41_89,0
graph_1_2_nodes_53_135,0
graph_3_3_nodes_105_150,0
graph_4_4_nodes_38_48,0
graph_3_3_nodes_145_168,0
graph_3_3_nodes_4_83,0
graph_3_5_nodes_67_101,0
graph_2_4_nodes_32_114,0
graph_3_2_nodes_78_146,0
graph_1_4_nodes_83_108,0
graph_2_4_nodes_153_173,0
graph_2_3_nodes_53_98,0
graph_4_3_nodes_25_114,0
graph_2_2_nodes_98_118,0
graph_4_2_nodes_37_99,0
graph_4_3_nodes_23_158,0
graph_4_2_nodes_88_185,0
graph_3_4_nodes_44_182,0
graph_2_1_nodes_155_175,1
graph_2_5_nodes_2_94,0
graph_1_4_nodes_19_177,0
graph_3_4_nodes_69_158,1
graph_2_4_nodes_70_80,0
graph_1_4_nodes_121_196,0
graph_4_4_nodes_71_122,0
graph_3_1_nodes_80_153,1
graph_2_1_nodes_45_173,0
graph_3_2_nodes_70_135,0
graph_3_1_nodes_187_191,0
graph_1_3_nodes_33_78,0
graph_2_3_nodes_79_165,0
graph_4_4_nodes_37_59,1
graph_2_4_nodes_77_104,0
graph_4_4_nodes_54_56,0
graph_3_3_nodes_24_95,0
graph_1_5_nodes_194_196,0
graph_3_1_nodes_13_126,0
graph_4_3_nodes_0_151,1
graph_1_4_nodes_37_73,0
graph_4_5_nodes_45_165,0
graph_4_5_nodes_151_195,0
graph_3_4_nodes_53_70,0
graph_4_5_nodes_8_175,0
graph_1_3_nodes_53_86,0
graph_2_4_nodes_119_191,0
graph_2_1_nodes_10_23,0
graph_2_2_nodes_33_193,1
graph_1_1_nodes_71_125,1
graph_2_5_nodes_11_111,0
graph_1_2_nodes_58_72,0
graph_1_2_nodes_33_149,0
graph_4_3_nodes_137_196,0
graph_2_1_nodes_12_101,0
graph_2_4_nodes_75_104,0
graph_3_3_nodes_5_133,0
graph_3_4_nodes_30_62,0
graph_2_1_nodes_12_62,0
graph_3_2_nodes_21_104,1
graph_2_1_nodes_98_168,0
graph_1_3_nodes_80_195,0
graph_1_2_nodes_31_83,1
graph_1_3_nodes_58_195,0
graph_2_3_nodes_83_158,0
graph_2_3_nodes_24_69,0
graph_1_2_nodes_17_133,0
graph_2_1_nodes_82_148,0
graph_1_4_nodes_110_124,0
graph_4_3_nodes_71_128,0
graph_4_1_nodes_101_143,0
graph_2_4_nodes_68_176,0
graph_2_2_nodes_36_184,0
graph_3_4_nodes_98_116,0
graph_3_4_nodes_48_106,1
graph_1_2_nodes_33_132,0
graph_1_1_nodes_112_157,0
graph_2_3_nodes_66_99,0
graph_3_5_nodes_84_196,0
graph_2_1_nodes_9_58,0
graph_3_4_nodes_48_188,0
graph_2_4_nodes_72_94,0
graph_4_3_nodes_13_171,0
graph_4_4_nodes_64_133,0
graph_1_3_nodes_10_153,0
graph_1_2_nodes_133_156,0
graph_4_5_nodes_44_184,0
graph_4_4_nodes_125_128,0
graph_1_5_nodes_9_76,1
graph_3_4_nodes_142_171,0
graph_3_3_nodes_67_102,0
graph_3_1_nodes_21_24,0
graph_1_1_nodes_2_110,1
graph_1_2_nodes_44_83,0
graph_4_3_nodes_137_161,1
graph_2_3_nodes_67_150,1
graph_3_4_nodes_92_187,0
graph_4_2_nodes_169_171,0
graph_2_4_nodes_5_114,0
graph_1_2_nodes_66_189,0
graph_3_3_nodes_45_110,0
graph_3_5_nodes_44_150,0
graph_3_3_nodes_107_191,0
graph_1_3_nodes_82_107,0
graph_3_5_nodes_59_82,0
graph_4_5_nodes_54_112,0
graph_4_4_nodes_7_35,0
graph_1_2_nodes_20_38,0
graph_1_5_nodes_141_165,0
graph_2_4_nodes_73_137,0
graph_3_4_nodes_18_94,0
graph_2_4_nodes_15_169,0
graph_3_4_nodes_34_92,0
graph_2_2_nodes_47_133,0
graph_4_1_nodes_127_172,0
graph_1_2_nodes_180_190,0
graph_1_1_nodes_4_76,0
graph_1_2_nodes_55_173,1
graph_2_2_nodes_66_177,0
graph_4_4_nodes_148_197,0
graph_4_2_nodes_6_177,0
graph_3_3_nodes_177_196,1
graph_1_5_nodes_86_119,0
graph_3_3_nodes_133_176,0
graph_2_1_nodes_11_21,0
graph_2_2_nodes_78_106,0
graph_1_2_nodes_103_175,0
graph_4_2_nodes_26_157,0
graph_2_3_nodes_129_145,1
graph_3_1_nodes_137_194,1
graph_2_5_nodes_47_136,0
graph_4_3_nodes_29_53,0
graph_1_1_nodes_110_179,0
graph_2_2_nodes_4_158,0
graph_1_2_nodes_60_91,1
graph_2_4_nodes_22_199,0
graph_1_4_nodes_10_176,0
graph_4_2_nodes_58_144,0
graph_4_1_nodes_43_116,1
graph_4_1_nodes_121_149,0
graph_1_2_nodes_45_185,1
graph_4_4_nodes_16_132,0
graph_2_3_nodes_106_180,1
graph_1_4_nodes_146_182,0
graph_3_4_nodes_65_165,0
graph_2_3_nodes_14_56,1
graph_3_4_nodes_8_115,1
graph_2_4_nodes_60_112,0
graph_3_2_nodes_9_128,0
graph_1_2_nodes_100_195,0
graph_2_5_nodes_19_93,0
graph_3_3_nodes_5_82,1
graph_3_5_nodes_73_192,0
graph_1_2_nodes_67_179,0
graph_4_2_nodes_97_136,1
graph_1_5_nodes_8_111,0
graph_3_2_nodes_97_193,0
graph_3_5_nodes_75_173,0
graph_2_3_nodes_53_70,0
graph_1_3_nodes_7_102,0
graph_3_5_nodes_58_121,0
graph_2_3_nodes_15_187,0
graph_4_2_nodes_60_199,0
graph_2_5_nodes_49_125,0
graph_2_3_nodes_177_190,0
graph_1_1_nodes_138_159,0
graph_3_5_nodes_60_73,0
graph_4_1_nodes_110_149,0
graph_1_1_nodes_9_26,0
graph_2_5_nodes_131_182,0
graph_2_1_nodes_94_127,0
graph_4_3_nodes_34_64,0
graph_1_1_nodes_24_184,0
graph_1_4_nodes_121_161,0
graph_3_1_nodes_91_192,0
graph_4_1_nodes_6_165,0
graph_4_1_nodes_69_145,0
graph_4_5_nodes_148_156,0
graph_2_3_nodes_68_164,0
graph_4_1_nodes_91_92,0
graph_4_2_nodes_96_168,0
graph_2_4_nodes_111_189,0
graph_2_5_nodes_13_169,0
graph_2_5_nodes_30_97,0
graph_1_1_nodes_123_195,0
graph_3_5_nodes_76_102,0
graph_1_5_nodes_98_180,0
graph_4_4_nodes_94_95,0
graph_2_3_nodes_94_112,0
graph_1_2_nodes_13_158,0
graph_1_3_nodes_15_148,1
graph_1_4_nodes_55_107,0
graph_1_5_nodes_37_146,0
graph_1_3_nodes_54_112,0
graph_1_1_nodes_92_172,0
graph_4_5_nodes_90_122,0
graph_3_4_nodes_79_189,0
graph_2_2_nodes_104_159,0
graph_4_4_nodes_71_107,0
graph_4_1_nodes_100_165,0
graph_2_4_nodes_43_143,0
graph_4_1_nodes_32_109,0
graph_2_5_nodes_61_192,0
graph_2_2_nodes_42_55,0
graph_4_4_nodes_28_161,0
graph_4_2_nodes_95_157,0
graph_4_4_nodes_20_167,0
graph_3_3_nodes_25_115,0
graph_1_5_nodes_139_188,1
graph_2_2_nodes_71_133,0
graph_2_5_nodes_98_150,0
graph_1_1_nodes_88_127,0
graph_1_4_nodes_99_149,0
graph_2_2_nodes_21_33,0
graph_3_4_nodes_20_47,0
graph_2_2_nodes_31_47,0
graph_3_3_nodes_94_132,0
graph_4_3_nodes_140_146,0
graph_2_3_nodes_38_181,0
graph_2_1_nodes_56_107,0
graph_4_5_nodes_78_115,0
graph_1_5_nodes_176_191,0
graph_2_4_nodes_70_172,1
graph_4_3_nodes_60_99,0
graph_1_5_nodes_110_173,0
graph_1_1_nodes_68_141,0
graph_3_3_nodes_110_165,0
graph_3_4_nodes_51_86,0
graph_2_3_nodes_43_114,0
graph_4_5_nodes_62_143,0
graph_1_4_nodes_86_175,0
graph_3_5_nodes_99_115,1
graph_2_1_nodes_27_141,1
graph_1_1_nodes_115_147,0
graph_2_2_nodes_0_81,0
graph_3_1_nodes_0_44,0
graph_2_2_nodes_139_199,0
graph_1_2_nodes_52_80,0
graph_2_4_nodes_84_94,1
graph_2_1_nodes_27_48,0
graph_4_2_nodes_107_163,0
graph_4_5_nodes_88_163,0
