,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_4_node_32,9,0.3611111111111111,0.011107919688632558,0.31738437001594894,3.150753768844221,0.09544002988059154,8.0,1.0,8.0,0.11111111111111112,0.04347826086956521,0.005649717514124295,0.058823529411764705,0.059419122026416284,0.391304347826087
graph_3_3_node_6,5,0.0,0.004825828618876264,0.34429065743944637,2.9045226130653266,0.03189351336975466,2.0,3.0,0.6666666666666667,0.5999999999999999,0.1,0.01764705882352941,0.42857142857142855,0.4303973567515868,0.0
graph_2_2_node_116,5,0.0,0.006172197164785577,0.35159010600706714,2.8442211055276383,0.04429691868699853,1.0,4.0,0.25,0.8,0.19047619047619047,0.0223463687150838,0.6666666666666667,0.6691327579120427,0.0
graph_3_5_node_135,9,0.05555555555555555,0.009031714558008073,0.3436960276338515,2.909547738693467,0.03403466584487978,3.0,6.0,0.5,0.6666666666666667,0.5999999999999999,0.031578947368421054,0.5,0.5036674816625917,0.0
graph_1_4_node_40,7,0.19047619047619047,0.014933467093419459,0.33277591973244147,3.0050251256281406,0.021084077342671467,5.0,2.0,2.5,0.2857142857142857,0.08333333333333334,0.011363636363636364,0.16666666666666669,0.16785290628706998,0.25
graph_1_5_node_102,11,0.45454545454545453,0.004512704313732204,0.33558178752107926,2.979899497487437,0.17170802888230813,10.0,1.0,10.0,0.09090909090909091,0.03571428571428571,0.005813953488372092,0.047619047619047616,0.04818949827506587,0.39285714285714285
graph_1_2_node_36,12,0.3181818181818182,0.009469052921452023,0.3209677419354839,3.1155778894472363,0.041764344384439954,11.0,1.0,11.0,0.08333333333333334,0.05,0.005555555555555556,0.04347826086956521,0.0441196976880386,0.5999999999999999
graph_2_5_node_76,9,0.05555555555555555,0.01808947602784784,0.3671586715867159,2.7236180904522613,0.08345383377860684,5.0,4.0,1.25,0.4444444444444445,0.16666666666666669,0.022727272727272728,0.2857142857142857,0.28830495928941524,0.16666666666666669
graph_3_4_node_104,17,0.07352941176470588,0.036192246503321236,0.40365111561866124,2.477386934673367,0.1160252239633215,9.0,8.0,1.125,0.47058823529411764,0.38095238095238093,0.0446927374301676,0.30769230769230765,0.3125407925407925,0.42857142857142855
graph_2_3_node_68,13,0.07272727272727272,0.016823091358850822,0.35472370766488415,2.819095477386935,0.03261410789283808,10.0,3.0,3.3333333333333335,0.23076923076923078,0.15789473684210525,0.01657458563535912,0.13043478260869562,0.13215793022500807,0.36842105263157887
graph_4_2_node_24,8,0.0,0.007980988331150319,0.3618181818181818,2.763819095477387,0.04793210197407862,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
graph_1_1_node_95,7,0.38095238095238093,0.008508526483725729,0.3128930817610063,3.1959798994974875,0.02903921667901191,6.0,1.0,6.0,0.14285714285714285,0.047619047619047616,0.00558659217877095,0.07692307692307691,0.07752584967774842,0.33333333333333337
graph_4_4_node_20,12,0.07575757575757576,0.012766852239270576,0.41200828157349895,2.4271356783919598,0.08252565459002742,7.0,5.0,1.4,0.4166666666666667,0.034722222222222224,0.08928571428571429,0.2631578947368421,0.26589162901787,0.034722222222222224
graph_2_1_node_183,7,0.09523809523809523,0.007836137118996549,0.34851138353765326,2.869346733668342,0.034332648054216895,3.0,4.0,0.75,0.5714285714285714,0.17391304347826084,0.02259887005649718,0.4,0.40243605359317913,0.17391304347826084
graph_2_4_node_137,9,0.19444444444444445,0.0072482784143156065,0.36313868613138683,2.7537688442211055,0.0745853367166353,7.0,2.0,3.5,0.22222222222222224,0.060606060606060594,0.011976047904191617,0.125,0.12617370892018778,0.24242424242424238
graph_1_5_node_99,6,0.6,0.00041045565787257234,0.30381679389312977,3.291457286432161,0.027908425063167278,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.29166666666666663
graph_1_4_node_102,4,0.5,0.0009148827535047744,0.31045241809672386,3.221105527638191,0.008560204822752125,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2
graph_1_4_node_28,7,0.09523809523809523,0.012771519197241546,0.3262295081967213,3.0653266331658293,0.019314167827918373,5.0,2.0,2.5,0.2857142857142857,0.08333333333333334,0.011363636363636364,0.16666666666666669,0.16785290628706998,0.16666666666666669
graph_2_2_node_8,5,0.0,0.00466559125748103,0.32569558101472995,3.07035175879397,0.018546013032749446,3.0,2.0,1.5,0.4,0.060606060606060594,0.011976047904191617,0.25,0.25123762376237624,0.0
graph_4_5_node_137,6,0.13333333333333333,0.002994419926029066,0.3849129593810445,2.5979899497487438,0.07860428732641844,3.0,3.0,1.0,0.5,0.05263157894736842,0.020979020979020983,0.33333333333333337,0.3351863290096767,0.05263157894736842
graph_3_4_node_17,11,0.1111111111111111,0.013856634645148871,0.3841698841698842,2.6030150753768844,0.07484705392797816,6.0,5.0,1.1999999999999997,0.4545454545454545,0.23809523809523808,0.027932960893854754,0.2941176470588235,0.29714245044660326,0.23809523809523808
graph_1_2_node_39,10,0.3111111111111111,0.013333512096537806,0.32045088566827695,3.120603015075377,0.01232531533721176,9.0,1.0,9.0,0.1,0.05,0.005555555555555556,0.05263157894736842,0.05327137421288345,0.45
graph_2_2_node_154,6,0.16666666666666666,0.0033740238714189603,0.3209677419354839,3.1155778894472363,0.019900418203682057,5.0,1.0,5.0,0.16666666666666669,0.030303030303030297,0.005988023952095809,0.09090909090909091,0.0915298233733988,0.09090909090909091
graph_4_4_node_126,4,0.0,0.0013519458525406895,0.34608695652173915,2.8894472361809047,0.02422549460542185,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
graph_2_1_node_46,8,0.14285714285714285,0.008041334079838522,0.35346358792184723,2.829145728643216,0.03454623083002893,6.0,2.0,3.0,0.25,0.05714285714285714,0.01212121212121212,0.14285714285714285,0.1440811330652212,0.2
graph_1_5_node_34,5,0.0,0.0037821095077021434,0.31240188383045525,3.201005025125628,0.008205180897373144,4.0,1.0,4.0,0.2,0.04166666666666667,0.005681818181818182,0.11111111111111112,0.11167768334907142,0.0
graph_3_4_node_182,7,0.0,0.003598024279968023,0.3431034482758621,2.9145728643216082,0.03844862835481972,5.0,2.0,2.5,0.2857142857142857,0.09090909090909091,0.011235955056179775,0.16666666666666669,0.1678773204196933,0.0
graph_1_3_node_192,7,0.23809523809523808,0.006576760331481797,0.3114241001564945,3.2110552763819094,0.011747812945433696,6.0,1.0,6.0,0.14285714285714285,0.039999999999999994,0.005714285714285714,0.07692307692307691,0.07754925099947016,0.2800000000000001
graph_2_2_node_10,10,0.06666666666666667,0.013564783576514347,0.3651376146788991,2.7386934673366836,0.049529705496841235,7.0,3.0,2.333333333333333,0.29999999999999993,0.09090909090909091,0.017964071856287425,0.17647058823529413,0.1783351003546229,0.18181818181818182
graph_3_5_node_76,7,0.14285714285714285,0.005627791967035982,0.35221238938053095,2.8391959798994977,0.04193668560423645,4.0,3.0,1.3333333333333335,0.42857142857142855,0.16666666666666669,0.016483516483516484,0.27272727272727265,0.2745666350816566,0.22222222222222224
graph_3_2_node_128,7,0.19047619047619047,0.0035696500445795087,0.38122605363984674,2.6231155778894473,0.0854079842096432,5.0,2.0,2.5,0.2857142857142857,0.0625,0.011904761904761904,0.16666666666666669,0.1677852348993288,0.1875
graph_3_2_node_187,6,0.26666666666666666,0.0024319087379472445,0.36313868613138683,2.7537688442211055,0.05602765950677501,5.0,1.0,5.0,0.16666666666666669,0.030303030303030297,0.005988023952095809,0.09090909090909091,0.09146868799918605,0.18181818181818182
graph_1_2_node_50,4,0.6666666666666666,0.0006097088933048446,0.2794943820224719,3.577889447236181,0.005801044708568855,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25
graph_1_3_node_43,5,0.4,0.0025191736347109743,0.27715877437325903,3.608040201005025,0.005207704622641243,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.25
graph_4_2_node_191,9,0.1388888888888889,0.007865962996133053,0.3719626168224299,2.6884422110552766,0.07155836713764156,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030297
graph_3_4_node_76,10,0.1111111111111111,0.013867531413452977,0.3509700176366843,2.849246231155779,0.03868243346982384,9.0,1.0,9.0,0.1,0.03333333333333333,0.0058823529411764705,0.05263157894736842,0.05324022167408783,0.26666666666666666
graph_4_3_node_97,5,0.1,0.004032162585946385,0.3114241001564945,3.2110552763819094,0.029482084748223964,1.0,4.0,0.25,0.8,2.0,0.0202020202020202,0.6666666666666667,0.6693404634581104,0.0
graph_2_2_node_6,9,0.2777777777777778,0.006041959508385772,0.34429065743944637,2.9045226130653266,0.11260615480649534,8.0,1.0,8.0,0.11111111111111112,0.03571428571428571,0.005813953488372092,0.058823529411764705,0.05944658237126625,0.3214285714285715
graph_4_3_node_160,4,0.0,0.00258970004097232,0.31687898089171973,3.1557788944723617,0.02422460500240231,1.0,3.0,0.33333333333333337,0.75,1.0,0.015228426395939085,0.5999999999999999,0.6020066889632105,0.0
graph_3_4_node_163,13,0.05454545454545454,0.02017576229350089,0.379047619047619,2.6381909547738696,0.06980797784529137,6.0,7.0,0.8571428571428571,0.5384615384615384,0.7,0.03684210526315789,0.36842105263157887,0.3726506598823342,0.0
graph_3_4_node_44,5,0.0,0.003844487341097117,0.3472949389179756,2.879396984924623,0.03260655975299589,3.0,2.0,1.5,0.4,0.06666666666666667,0.011764705882352941,0.25,0.2512077294685991,0.0
graph_2_5_node_136,5,0.2,0.0028682577653952124,0.32148626817447495,3.1105527638190953,0.04130485937122569,4.0,1.0,4.0,0.2,0.03571428571428571,0.005813953488372092,0.11111111111111112,0.11175919925109816,0.14285714285714285
graph_4_1_node_53,4,0.0,0.0009291961677702291,0.3235772357723577,3.090452261306533,0.017062587468428057,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
graph_2_5_node_6,8,0.14285714285714285,0.007408778328132587,0.33558178752107926,2.979899497487437,0.04163781643700779,7.0,1.0,7.0,0.125,0.05263157894736842,0.0055248618784530384,0.06666666666666667,0.06731728475384949,0.36842105263157887
graph_1_3_node_108,9,0.3333333333333333,0.00831629773255328,0.29569093610698366,3.3819095477386933,0.005122989425270538,8.0,1.0,8.0,0.11111111111111112,0.05263157894736842,0.0055248618784530384,0.058823529411764705,0.05945127580222296,0.47368421052631576
graph_4_2_node_158,9,0.08333333333333333,0.007092998309726173,0.3692022263450835,2.708542713567839,0.06726382848037343,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030297
graph_3_3_node_26,4,0.0,0.0020140893874177495,0.32148626817447495,3.1105527638190953,0.015746987140925015,2.0,2.0,1.0,0.5,0.11764705882352941,0.01092896174863388,0.33333333333333337,0.33455136012992276,0.0
graph_3_5_node_187,11,0.21818181818181817,0.01017758132925204,0.37335834896810505,2.678391959798995,0.07816365921631917,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337
graph_1_1_node_78,17,0.21323529411764705,0.030288195501688635,0.36380255941499084,2.748743718592965,0.1618127710688596,14.0,3.0,4.666666666666666,0.17647058823529413,0.10344827586206898,0.017543859649122806,0.0967741935483871,0.09859790175507402,0.517241379310345
graph_4_2_node_142,13,0.07692307692307693,0.019768183384600825,0.4077868852459016,2.4522613065326633,0.12595866459889143,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.05050505050505051
graph_1_4_node_177,15,0.2564102564102564,0.011189291322892972,0.32305194805194803,3.0954773869346734,0.038489182742201665,14.0,1.0,14.0,0.06666666666666667,0.04166666666666667,0.005681818181818182,0.034482758620689655,0.03508263864468485,0.5416666666666667
graph_1_1_node_103,5,0.5,0.002501835988408568,0.32148626817447495,3.1105527638190953,0.0868444932456388,4.0,1.0,4.0,0.2,0.032258064516129024,0.00591715976331361,0.11111111111111112,0.11171243402151401,0.16129032258064518
graph_3_1_node_176,6,0.0,0.003156477806943052,0.30474732006125577,3.2814070351758793,0.024920141254610027,4.0,2.0,2.0,0.33333333333333337,0.10526315789473684,0.011049723756906077,0.2,0.2012531328320802,0.0
graph_3_5_node_113,9,0.08333333333333333,0.011482448684252411,0.379047619047619,2.6381909547738696,0.06250595501553438,4.0,5.0,0.8,0.5555555555555556,0.16666666666666669,0.029411764705882353,0.38461538461538464,0.3876772339723963,0.16666666666666669
graph_4_2_node_145,7,0.14285714285714285,0.005950241527702347,0.36446886446886445,2.7437185929648242,0.05411582490860013,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.025252525252525256
graph_3_4_node_16,10,0.022222222222222223,0.015392922036494183,0.3605072463768116,2.7738693467336684,0.04967770247328931,4.0,6.0,0.6666666666666667,0.5999999999999999,0.5999999999999999,0.031578947368421054,0.42857142857142855,0.43219024642426335,0.0
graph_4_5_node_118,7,0.09523809523809523,0.0057445286546264395,0.38943248532289626,2.5678391959798996,0.0634686029610205,2.0,5.0,0.4,0.7142857142857143,0.625,0.026041666666666668,0.5555555555555556,0.5586362702813721,0.0
graph_3_4_node_165,7,0.047619047619047616,0.008888166426471106,0.36116152450090744,2.7688442211055277,0.05732078096547172,4.0,3.0,1.3333333333333335,0.42857142857142855,0.13043478260869562,0.016949152542372885,0.27272727272727265,0.27453996154902505,0.13043478260869562
graph_2_2_node_100,5,0.4,0.0016096048104223984,0.3407534246575342,2.9346733668341707,0.08395930532886235,4.0,1.0,4.0,0.2,0.03571428571428571,0.005813953488372092,0.11111111111111112,0.11173107391334298,0.17857142857142858
graph_3_4_node_36,5,0.0,0.004017815913546182,0.35221238938053095,2.8391959798994977,0.042215244498353496,2.0,3.0,0.6666666666666667,0.5999999999999999,0.13636363636363633,0.01685393258426966,0.42857142857142855,0.430379746835443,0.0
graph_1_3_node_16,6,0.2,0.007536070640522969,0.28674351585014407,3.487437185929648,0.006403437113317549,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857
graph_1_5_node_167,6,0.4,0.005600740621720581,0.3235772357723577,3.090452261306533,0.010051472107429975,5.0,1.0,5.0,0.16666666666666669,0.037037037037037035,0.005780346820809247,0.09090909090909091,0.09147630588356624,0.22222222222222224
graph_3_3_node_67,5,0.0,0.003387992652061424,0.35472370766488415,2.819095477386935,0.041795603309275266,1.0,4.0,0.25,0.8,0.15384615384615383,0.022988505747126436,0.6666666666666667,0.6690968003240176,0.0
graph_1_2_node_194,6,0.3333333333333333,0.001346418526624216,0.2930780559646539,3.4120603015075375,0.024292701586256585,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.29999999999999993
graph_4_3_node_173,6,0.13333333333333333,0.006885144103083426,0.35159010600706714,2.8442211055276383,0.0677214951597228,2.0,4.0,0.5,0.6666666666666667,0.5714285714285714,0.020725388601036267,0.5,0.5026773761713521,0.42857142857142855
graph_2_1_node_105,7,0.19047619047619047,0.006323606619182319,0.3509700176366843,2.849246231155779,0.037107265335629,5.0,2.0,2.5,0.2857142857142857,0.08695652173913042,0.01129943502824859,0.16666666666666669,0.16788916055419723,0.26086956521739124
graph_3_5_node_133,8,0.07142857142857142,0.008423210113273004,0.3579136690647482,2.7939698492462313,0.039198272445532284,3.0,5.0,0.5999999999999999,0.625,0.5,0.02631578947368421,0.4545454545454545,0.4576035585209898,0.0
