,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_4_node_115,6,0.6666666666666666,0.0007192269019867483,0.3080495356037152,3.2462311557788945,0.13840869648413529,0.032,5.968,0.0066,0.9946666666666666,0.21251148588175872,0.03472784579653835,0.991,0.9947301831912722,5.357142857142857e-05
graph_4_1_node_191,7,0.047619047619047616,0.005078642936143822,0.3592057761732852,2.7839195979899496,0.03011623601297242,6.903,0.097,6.840116666666667,0.013857142857142858,0.001335335002856526,0.001136136077279218,0.009376340326340327,0.009432136322929753,0.014717205098210966
graph_2_4_node_43,9,0.25,0.008287936402919676,0.35221238938053095,2.8391959798994977,0.07891811403360272,0.341,8.659,0.049846428571428576,0.9621111111111113,0.6087617058382278,0.04910465836020839,0.937598001998002,0.9427949477149121,0.0011656886995236968
graph_2_2_node_73,7,0.14285714285714285,0.007501368124467697,0.36580882352941174,2.7336683417085426,0.08605424804928997,0.979,6.021,0.20931666666666665,0.8601428571428572,0.3554448311045703,0.03637555072818959,0.769828749028749,0.7734376264382207,0.0011329213472713326
graph_4_3_node_16,11,0.1388888888888889,0.006900044208042274,0.3712686567164179,2.693467336683417,0.08902436997454409,9.097,1.903,8.546571031746032,0.173,0.4259648448637021,0.010746912776967845,0.1416083888076148,0.14276071548623565,0.02788370396751059
graph_4_1_node_49,9,0.08333333333333333,0.005591643562933367,0.3712686567164179,2.693467336683417,0.06043437886792078,8.813,0.187,8.723557142857143,0.020777777777777777,0.0036433953578069245,0.0014833941990341226,0.016058266733266734,0.016165594810987477,0.024465343740818456
graph_3_3_node_51,7,0.14285714285714285,0.008090882984822379,0.38791423001949316,2.577889447236181,0.09967011631353057,2.188,4.812,0.9437666666666666,0.6874285714285713,0.2253095778154933,0.02997068819751859,0.5653662781662782,0.5683733767103415,0.003651497638551326
graph_1_4_node_40,10,0.2857142857142857,0.004624730081434896,0.3094867807153966,3.2311557788944723,0.13831341252300738,4.949,5.051,0.9882142857142858,0.5051,0.21510041641365174,0.028798121942916807,0.33885477267830205,0.3420330307995545,0.0004313934975699682
graph_3_5_node_45,9,0.19444444444444445,0.008404167499848104,0.381957773512476,2.6180904522613067,0.09511414159186657,3.282,5.718,2.296160714285714,0.6353333333333333,0.32490681552935824,0.042806280004112046,0.5726750999000999,0.575867206234794,0.013842597923757435
graph_2_3_node_131,6,0.13333333333333333,0.0057289468603577065,0.3436960276338515,2.909547738693467,0.036164684294447906,0.056,5.944,0.012999999999999998,0.9906666666666667,0.3886001125062359,0.03284463198289498,0.985095238095238,0.9885037402086668,3.157894736842105e-05
