,Stability
graph_4_5_node_27,1
graph_3_3_node_93,1
graph_3_3_node_134,1
graph_2_2_node_93,0
graph_3_4_node_148,1
graph_1_4_node_118,0
graph_3_5_node_122,1
graph_1_1_node_158,0
graph_4_1_node_189,1
graph_1_1_node_154,0
graph_3_4_node_183,1
graph_1_5_node_81,0
graph_1_4_node_51,0
graph_4_1_node_196,1
graph_2_3_node_183,0
graph_2_1_node_103,0
graph_3_5_node_72,1
graph_1_1_node_183,0
graph_4_2_node_182,1
graph_2_3_node_71,0
graph_2_1_node_50,0
graph_3_3_node_128,1
graph_3_4_node_12,1
graph_1_4_node_133,0
graph_4_2_node_31,1
graph_1_3_node_75,0
graph_1_1_node_109,0
graph_1_3_node_188,0
graph_3_2_node_166,1
graph_1_5_node_86,0
graph_4_4_node_39,1
graph_4_1_node_112,1
graph_4_4_node_124,1
graph_4_2_node_83,1
graph_1_3_node_153,0
graph_1_5_node_13,0
graph_3_3_node_61,1
graph_2_4_node_198,0
graph_3_4_node_24,1
graph_2_1_node_159,0
graph_4_5_node_29,1
graph_4_5_node_170,1
graph_4_3_node_128,1
graph_1_3_node_141,0
graph_1_5_node_15,0
graph_2_2_node_89,0
graph_3_4_node_21,0
graph_1_5_node_31,0
graph_2_1_node_19,1
graph_3_5_node_168,1
graph_3_5_node_71,1
graph_3_3_node_102,1
graph_2_2_node_28,1
graph_2_5_node_70,0
graph_2_1_node_36,0
graph_4_1_node_73,1
graph_4_1_node_98,1
graph_4_5_node_129,1
graph_1_2_node_115,0
graph_2_5_node_54,1
graph_2_4_node_29,0
graph_3_1_node_37,1
graph_4_3_node_28,1
graph_3_3_node_161,0
graph_3_2_node_190,1
graph_4_1_node_171,1
graph_1_5_node_35,0
graph_1_5_node_123,0
graph_1_4_node_87,0
graph_2_4_node_111,0
graph_1_3_node_95,0
graph_1_5_node_184,0
graph_1_2_node_116,0
graph_1_2_node_58,0
graph_4_4_node_179,1
graph_2_5_node_8,0
graph_3_1_node_48,1
graph_4_2_node_159,1
graph_3_4_node_171,1
graph_1_1_node_163,0
graph_1_4_node_65,0
graph_4_3_node_4,1
graph_2_5_node_82,1
graph_3_1_node_89,1
graph_4_3_node_65,1
graph_3_3_node_108,1
graph_1_5_node_55,0
graph_1_4_node_73,0
graph_4_4_node_32,1
graph_4_4_node_61,1
graph_1_3_node_30,0
graph_4_4_node_77,1
graph_3_1_node_147,1
graph_2_5_node_102,0
graph_2_5_node_48,0
graph_2_5_node_116,1
graph_2_4_node_58,1
graph_3_2_node_80,1
graph_2_5_node_28,0
graph_4_1_node_104,1
graph_3_1_node_133,1
graph_2_2_node_144,0
graph_2_4_node_1,0
graph_4_5_node_155,1
graph_4_5_node_63,1
graph_4_1_node_39,1
graph_4_3_node_70,1
graph_4_3_node_36,1
graph_3_1_node_144,1
graph_4_4_node_169,1
graph_4_1_node_35,1
graph_3_4_node_176,0
graph_2_3_node_184,0
graph_2_2_node_117,1
graph_2_1_node_155,0
graph_1_5_node_52,0
graph_2_3_node_1,0
graph_2_2_node_121,0
graph_4_4_node_99,1
graph_3_1_node_184,1
graph_3_4_node_146,0
graph_4_5_node_53,1
graph_2_4_node_49,0
graph_3_4_node_190,1
graph_1_3_node_196,0
graph_3_4_node_143,0
graph_3_4_node_10,1
graph_3_5_node_130,1
graph_4_3_node_98,1
graph_1_5_node_102,0
graph_1_5_node_9,0
graph_4_5_node_160,1
graph_2_5_node_22,0
graph_1_2_node_163,0
graph_4_2_node_114,1
graph_3_3_node_186,1
graph_1_5_node_163,0
graph_2_1_node_100,0
graph_2_5_node_92,0
graph_3_4_node_80,0
graph_4_5_node_92,1
graph_3_1_node_38,1
graph_4_2_node_162,1
graph_3_4_node_9,1
graph_2_3_node_141,0
graph_4_3_node_99,1
graph_2_4_node_163,0
graph_4_1_node_4,1
graph_1_3_node_0,0
graph_4_2_node_52,1
graph_3_1_node_94,1
graph_3_5_node_183,1
graph_4_2_node_112,1
graph_2_5_node_187,0
graph_2_2_node_15,0
graph_3_2_node_98,1
graph_3_3_node_184,1
graph_4_1_node_24,1
graph_1_4_node_158,0
