,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_1_5_node_109,5,0.2,0.0064839071786697905,0.3028919330289193,3.301507537688442,0.019002940178451982,4.0,1.0,4.0,0.20000000000000004,0.04761904761904764,0.005586592178770948,0.11111111111111115,0.11172123923801779,0.19047619047619055
graph_1_5_node_86,7,0.19047619047619047,0.009628172170690109,0.3080495356037152,3.2462311557788945,0.011542891176211796,6.0,1.0,6.0,0.1428571428571428,0.045454545454545456,0.0056179775280898875,0.0769230769230769,0.07753469771818394,0.31818181818181823
graph_1_1_node_182,7,0.2857142857142857,0.014034877488473473,0.29790419161676646,3.35678391959799,0.019877973118117464,5.0,2.0,2.5,0.2857142857142856,0.10000000000000002,0.011111111111111106,0.16666666666666663,0.16802721088435377,0.2999999999999999
graph_3_3_node_163,8,0.07142857142857142,0.009332591700478406,0.36988847583643125,2.7035175879396984,0.042624316706869336,5.0,3.0,1.666666666666667,0.375,0.09677419354838708,0.017751479289940832,0.2307692307692308,0.2325753716482194,0.16129032258064516
graph_2_4_node_27,8,0.17857142857142858,0.008023291671123724,0.33728813559322035,2.9648241206030153,0.04727298016526739,5.0,3.0,1.666666666666667,0.375,0.1363636363636363,0.016853932584269656,0.2307692307692308,0.23266197524872603,0.2727272727272726
graph_3_1_node_149,11,0.10909090909090909,0.018807121702801487,0.3940594059405941,2.5376884422110555,0.07321234098547381,7.0,4.0,1.75,0.36363636363636365,0.11764705882352942,0.02409638554216868,0.2222222222222223,0.22463768115942037,0.20588235294117652
graph_3_3_node_188,18,0.08496732026143791,0.032946258001472634,0.39959839357429716,2.5025125628140703,0.09512638872491182,12.0,6.0,2.0,0.33333333333333326,0.19354838709677416,0.035502958579881665,0.20000000000000004,0.20363636363636362,0.3870967741935483
graph_4_2_node_182,7,0.09523809523809523,0.004130572427029727,0.3678373382624769,2.7185929648241207,0.06220929703792393,4.0,3.0,1.333333333333333,0.42857142857142855,0.12000000000000005,0.017142857142857147,0.2727272727272726,0.27449301728289377,0.16
graph_3_4_node_39,5,0.0,0.0015493310543050283,0.3114241001564945,3.2110552763819094,0.01691951500825799,3.0,2.0,1.5,0.4000000000000001,0.09523809523809527,0.011173184357541896,0.25,0.2512224938875306,0.0
graph_1_5_node_197,4,0.5,0.0009926563745459244,0.2992481203007519,3.341708542713568,0.015695621277451426,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2380952380952381
graph_4_4_node_3,11,0.07272727272727272,0.011145511648240796,0.4012096774193548,2.492462311557789,0.10696278756203254,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.04
graph_1_3_node_154,26,0.14855072463768115,0.07248003949922537,0.37832699619771865,2.64321608040201,0.06934493189147312,22.0,4.0,5.5,0.1538461538461538,0.13793103448275865,0.02339181286549707,0.08333333333333331,0.08586177833965444,0.7241379310344828
graph_2_3_node_85,5,0.2,0.0018287290592014214,0.34488734835355284,2.899497487437186,0.01722776624314867,4.0,1.0,4.0,0.20000000000000004,0.03846153846153845,0.005747126436781608,0.11111111111111115,0.111663292226517,0.1538461538461538
graph_3_2_node_8,5,0.0,0.004879490382120407,0.35535714285714287,2.814070351758794,0.05339389957897151,2.0,3.0,0.6666666666666665,0.5999999999999998,0.12000000000000005,0.017142857142857147,0.42857142857142855,0.4304859148509435,0.0
graph_2_4_node_82,12,0.3333333333333333,0.009466691580904183,0.3528368794326241,2.8341708542713566,0.17122640999769695,10.0,2.0,5.0,0.16666666666666663,0.09523809523809527,0.011173184357541896,0.09090909090909091,0.09217973893958645,0.42857142857142855
graph_3_5_node_5,14,0.06593406593406594,0.025509027688374875,0.4012096774193548,2.492462311557789,0.1473023615075645,7.0,7.0,1.0,0.5,0.25,0.04069767441860465,0.33333333333333326,0.3378407383558705,0.25
