,Degree,Clustering Coefficient,Betweenness,Closeness,Shortest Path,Eigenvector,E In,E Out,E In Over E Out,ODF,Expansion,Cut Ratio,Conductance,Normalised Cut,Triangle Participation
graph_4_3_node_44,8,0.14285714285714285,0.005849269658651832,0.3761814744801512,2.658291457286432,0.047703621796441546,4.95,3.05,2.3746666666666667,0.38125,0.13641987389136045,0.017538951895953777,0.24997402597402593,0.2517020731954515,0.1853188739096752
graph_4_4_node_124,6,0.0,0.0036137034307328992,0.37057728119180633,2.698492462311558,0.041630039008267686,2.5,3.5,0.765,0.5833333333333334,0.1256254175634331,0.020733300646878748,0.41938095238095235,0.42135521348986726,0.0
graph_1_1_node_78,6,0.26666666666666666,0.006978585513318341,0.3163751987281399,3.1608040201005023,0.0056658828429998215,4.98,1.02,4.94,0.17000000000000004,0.042433333333333344,0.00579675324675325,0.09309090909090913,0.09363955651058027,0.2071666666666666
graph_4_5_node_38,14,0.054945054945054944,0.01882981389509098,0.3948412698412698,2.5326633165829144,0.14819843721305714,7.76,6.24,1.3082222222222226,0.4457142857142858,0.19584377285600751,0.0373345146731138,0.2897271802695144,0.2937864445219923,0.1779928630287708
graph_1_5_node_166,6,0.3333333333333333,0.002065083137044077,0.28674351585014407,3.487437185929648,0.040631999923730455,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.28585714285714275
graph_4_2_node_55,15,0.0641025641025641,0.019932869751596586,0.4086242299794661,2.4472361809045227,0.1475717437930606,7.31,7.69,0.9991666666666665,0.5126666666666666,0.26832770532166816,0.0451231904308643,0.3476912652564827,0.35258463388213324,0.11391679839695117
graph_3_1_node_46,7,0.09523809523809523,0.006496452209734995,0.3509700176366843,2.849246231155779,0.03745232540290369,3.93,3.07,1.3111666666666668,0.4385714285714286,0.1649335922609917,0.016953127261838816,0.2829090909090909,0.28468841926990357,0.15751793622033558
graph_3_4_node_95,7,0.047619047619047616,0.0046804225776306664,0.3579136690647482,2.7939698492462313,0.020997783962196686,4.64,2.36,2.3063333333333333,0.3371428571428571,0.08799269684092202,0.013703990097941992,0.20799222999223002,0.20931526571198208,0.10071581679158834
graph_2_1_node_157,18,0.1,0.03109479538772348,0.3719626168224299,2.6884422110552766,0.10623852333029019,13.97,4.03,3.4729999999999994,0.22388888888888892,0.18272915490306801,0.022648466484750926,0.12608870967741936,0.12873287326306154,0.542473178994918
graph_1_5_node_84,5,0.3,0.005975419488216048,0.27871148459383754,3.5879396984924625,0.018720000078590284,4.0,1.0,4.0,0.19999999999999996,0.04761904761904761,0.005586592178770952,0.11111111111111112,0.11175337186897877,0.23809523809523805
graph_2_1_node_192,5,0.1,0.0039041246026248434,0.32305194805194803,3.0954773869346734,0.042438117065755496,4.0,1.0,4.0,0.19999999999999996,0.04244476031215163,0.005668379988412134,0.11111111111111112,0.111760040377821,0.12733428093645482
graph_4_4_node_171,10,0.022222222222222223,0.007540679460282303,0.381957773512476,2.6180904522613067,0.058241623576346366,3.6,6.4,0.6027380952380953,0.64,0.3014194343248451,0.03699796562381417,0.4777564102564103,0.4813648352392704,0.013479189622043133
graph_4_5_node_97,5,0.0,0.0033787635261829704,0.32892561983471075,3.040201005025126,0.023878212434502277,3.31,1.69,2.52,0.338,0.07670302150866938,0.0096879177796682,0.21503968253968253,0.2161355509573103,0.0
graph_1_2_node_147,10,0.17777777777777778,0.0181760588319367,0.3235772357723577,3.090452261306533,0.128706973471649,7.0,3.0,2.3333333333333335,0.3,0.1271195652173913,0.017007896764252694,0.1764705882352941,0.1783609474035361,0.3389855072463769
graph_3_3_node_171,27,0.1168091168091168,0.0635710313009562,0.4326086956521739,2.3115577889447234,0.27934081697364777,18.18,8.82,2.069642857142857,0.32666666666666666,0.4046968153223588,0.04952976446099786,0.1953265494912118,0.2008579847182495,0.8761705573211006
graph_4_2_node_36,8,0.0,0.007133754964574878,0.35663082437275984,2.8040201005025125,0.043855185181954866,3.54,4.46,0.9060952380952378,0.5575,0.23131120847200948,0.025435507082321486,0.3981547341547342,0.40098449292699384,0.0
graph_3_2_node_33,7,0.09523809523809523,0.008150596880706816,0.32838283828382836,3.0452261306532664,0.03558630831058592,5.26,1.74,3.873166666666666,0.24857142857142847,0.08416400589970291,0.009834716787231619,0.14735275835275835,0.14853938652934814,0.2268494729015209
graph_1_4_node_37,8,0.4666666666666667,0.0009301783584044877,0.3052147239263804,3.2763819095477387,0.016568932891811362,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.2258064516129032
