,Betweenness,Closeness,Clustering,Conductance,Cut Ratio,Degree,E In,E In Over E Out,E Out,Expansion,Normalised Cut,ODF,Shortest Path,Triangle Participation
graph_2_2_node_189,0.001485456562540933,0.3235772357723577,0.2,0.7140714285714286,0.029260524572372486,5,1.001,0.2003,4.999,0.1715960364360865,0.7173711037770444,0.8331666666666667,3.090452261306533,5.9999999999999995e-05
graph_2_5_node_8,0.007726329563638993,0.35472370766488415,0.19444444444444445,0.5555555555555556,0.028793902962191517,9,2.0,0.4,5.0,0.19003543527785416,0.5588602482191378,0.7142857142857143,2.819095477386935,0.0
graph_4_3_node_121,0.0036275220388967814,0.35855855855855856,0.0,0.7809909090909091,0.029542837443746063,5,0.85,0.2213,5.15,0.22757182958049613,0.784388126102666,0.8583333333333334,2.7889447236180906,0.006776633798526478
graph_1_4_node_68,0.012859545333975498,0.2987987987987988,0.13333333333333333,0.45454545454545453,0.028409090909090908,6,3.0,0.6,5.0,0.20833333333333334,0.4578545213886048,0.625,3.3467336683417086,0.125
graph_4_3_node_29,0.0018409567786261182,0.33671742808798644,0.0,0.7433393874518117,0.07717986740642471,4,2.451,0.19327610167610168,13.549,0.6669940107999155,0.7522471409228594,0.8468125,2.969849246231156,0.024955267363489242
graph_1_1_node_19,0.005820534570460161,0.29701492537313434,0.2,0.09090909090909091,0.005683086983637831,6,5.0,5.0,1.0,0.041602681159420285,0.09157442690376823,0.16666666666666666,3.3668341708542715,0.20801340579710145
graph_4_3_node_76,0.0025564590123179545,0.3338926174496644,0.1,0.8226449494949495,0.03516135907543401,5,0.74,0.13361666666666666,6.26,0.35758344396275316,0.8267714995250028,0.8942857142857142,2.9949748743718594,0.0
graph_1_5_node_52,0.0033358914650546663,0.32730263157894735,0.42857142857142855,0.6666666666666666,0.023391812865497075,10,1.0,0.25,4.0,0.13793103448275862,0.6693086745926904,0.8,3.0552763819095476,0.0
graph_3_2_node_61,0.003475474650552797,0.3503521126760563,0.2,0.9893055555555555,0.03921387487968136,6,0.043,0.007233333333333333,6.957,0.31213272431097006,0.9938858759212856,0.9938571428571429,2.8542713567839195,0.0
graph_3_3_node_133,0.0030011157786536385,0.3712686567164179,0.4166666666666667,0.9931111111111111,0.041059275323036555,9,0.028,0.0048,6.972,0.23187583167962786,0.9977011865664991,0.996,2.693467336683417,0.0
graph_2_2_node_184,0.0016460297707583955,0.3338926174496644,0.3333333333333333,0.7142857142857143,0.02926719123903915,6,1.0,0.2,5.0,0.1716160364360865,0.7175860443187176,0.8333333333333334,2.9949748743718594,0.0
graph_3_3_node_127,0.0020465908069080226,0.30381679389312977,0.3,0.9996,0.022118728502615873,5,0.001,0.0003333333333333333,3.999,0.24104368297161644,1.0022378667206113,0.99975,3.291457286432161,0.0
graph_4_3_node_86,0.0032971632054949844,0.34851138353765326,0.06666666666666667,0.7654666666666666,0.019914748085212434,6,0.589,0.19899999999999998,3.411,0.12770878585498496,0.767718956927994,0.85275,2.869346733668342,0.0006275932197234504
graph_2_3_node_101,0.010882094877489755,0.35535714285714287,0.14285714285714285,0.9994285714285714,0.028292598319325433,8,0.002,0.0006666666666666666,4.998,0.21429165019762847,1.0027232397955066,0.9996,2.814070351758794,0.0
graph_4_4_node_185,0.012294975774699303,0.37265917602996257,0.0,0.6191262980497763,0.08222779436710297,12,4.264,0.31507997002997,13.736,0.43800828760789656,0.6281789327729843,0.7631111111111111,2.6834170854271355,0.008982828310581326
graph_3_4_node_109,0.009606386092583892,0.3719626168224299,0.21818181818181817,0.4947666666666667,0.023519600536037005,11,2.033,0.5205,3.967,0.1272625804853059,0.4973904531327183,0.6611666666666667,2.6884422110552766,0.0005017687074829932
graph_4_1_node_167,0.009229195401002326,0.3972055888223553,0.14545454545454545,0.7545833333333334,0.03637019243681127,11,0.983,0.16423333333333331,6.017,0.1790710706453408,0.7585521601882923,0.8595714285714285,2.5175879396984926,0.0001521181001283697
graph_4_4_node_44,0.00809538343000459,0.3864077669902913,0.03571428571428571,0.9420238095238095,0.02824617573194091,8,0.178,0.0475,4.822,0.18068493589844273,0.9452033426115528,0.9644,2.5879396984924625,0.0
graph_2_4_node_164,0.011185892617029845,0.3436960276338515,0.16666666666666666,0.99525,0.03882638037069254,9,0.019,0.0031666666666666666,6.981,0.347071546378981,0.9998459352163711,0.9972857142857143,2.909547738693467,0.0
graph_2_3_node_140,0.015092814599914208,0.38269230769230766,0.1794871794871795,1.0,0.02238212544076742,13,0.0,0.0,4.0,0.18839390840874706,1.0026385224274406,1.0,2.613065326633166,0.0
graph_4_5_node_144,0.0022242821472009404,0.34488734835355284,0.1,0.8752142857142857,0.03195022612794429,7,0.444,0.0917,5.556,0.24131105258177823,0.8788771856481714,0.926,2.899497487437186,0.0021027224256280654
